orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person
καθάπερ,καθάπερ,καθά,καθάπερ,περ,κ,-20.0,ADV,d--------,,mark,0.0,εἶχε,(),False,xxxx́xxx,False,False,False,False,,,,,,,,,
οὖν,οὖν,οὖν,οὖν,̓͂ν,ο,-20.0,ADV,d--------,,advmod,0.0,εἶχε,(),False,xx̓͂x,False,False,False,False,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,προδιατυπωθεῖσα,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἀρχιτεκτονικῷ,(),False,x̓x,False,False,False,False,,,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Neut|Number=Sing,det,0.0,ἀρχιτεκτονικῷ,(),False,xx͂ͅ,False,False,False,False,Dat,Neut,Sing,,,,,,
ἀρχιτεκτονικῷ,ἀρχιτεκτονικῷ,ἀρχιτεκτονικῷ,ἀρχιτεκτονικῷ,ῷ,α,-20.0,ADJ,a-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obl,0.0,προδιατυπωθεῖσα,(),False,x̓xxxx͂ͅ,False,False,False,False,Dat,Neut,Sing,,,,,,
προδιατυπωθεῖσα,προδιατυπωθεῖσα,προδιατυπωθεῖσα,προδιατυπωθεῖσα,͂σα,π,-20.0,VERB,v-sappfn-,Case=Nom|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,nmod,0.0,πόλις,(),False,xxxx͂xx,False,False,False,False,Nom,Fem,Sing,Past,Part,Pass,,,
πόλις,πόλις,πόλις,πόλις,λις,π,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,εἶχε,(),False,xx́xxx,False,False,False,False,Nom,Fem,Sing,,,,,,
χώραν,χώραν,χώρα,χώραν,ραν,χ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,εἶχε,(),False,xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,
ἐκτὸς,ἐκτὸς,ἐκτὸς,ἐκτὸς,ὸς,ε,-20.0,ADP,r--------,,case,0.0,χώραν,(),False,x̓xxx̀x,False,False,False,False,,,,,,,,,
