orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person
οὐδενὸς,οὐδενὸς,οὐδενὸς,οὐδενὸς,ὸς,ο,-20.0,PRON,p-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,φιλήδονος,(),False,xx̓xxxx̀x,False,False,False,False,Gen,Masc,Sing,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἀμοιρεῖ,(),False,xx̀,False,False,False,False,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,λεχθέντων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,
λεχθέντων,λεχθέντων,λεχθέντων,λεχθέντων,των,λ,-20.0,VERB,v-pappng-,Case=Gen|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,xcomp,0.0,ἀμοιρεῖ,(),False,xxxx́xxxx,False,False,False,False,Gen,Neut,Plur,Past,Part,Pass,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,φιλήδονος,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,
φιλήδονος,φιλήδονος,φιλήδονος,φιλήδονος,νος,φ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἀμοιρεῖ,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,
ἀμοιρεῖ,ἀμοιρεῖ,ἀμοιρεῖ,ἀμοιρεῖ,εῖ,α,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀμοιρεῖ,(),False,x̓xxxx͂,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἀμοιρεῖ,(),False,·,False,True,False,False,,,,,,,,
μόλις,μόλις,μόλις,μόλις,λις,μ,-20.0,ADV,d--------,,advmod,0.0,ἐπαίρει,(),False,xx́xxx,False,False,False,False,,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,ἐπαίρει,(),True,xx,True,False,False,False,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἐπαίρει,(),False,xx̀x,False,False,False,False,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,κεφαλὴν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,
κεφαλὴν,κεφαλὴν,κεφαλὴν,κεφαλὴν,ὴν,κ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐπαίρει,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,
ἐπαίρει,ἐπαίρει,ἐπαίρω,ἐπαίρει,ρει,ε,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐπαίρει,(),False,x̓xxx́xxx,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3
βαρυνόμενος,βαρυνόμενος,βαρυνόμενος,βαρυνόμενος,νος,β,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ἐπαίρει,"(καθελκόμενος,)",False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,Pres,Part,Mid,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,βαρυνόμενος,(),False,xxx̀,False,False,False,False,,,,,,,,
καθελκόμενος,καθελκόμενος,καθελκόμενος,καθελκόμενος,νος,κ,-20.0,VERB,v-sfpmmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,conj,0.0,βαρυνόμενος,"(βαρυνόμενος,)",False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,Pres,Part,Mid,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐκτραχηλιζούσης,(),False,",",False,True,False,False,,,,,,,,
ἐκτραχηλιζούσης,ἐκτραχηλιζούσης,ἐκτραχηλιζούσης,ἐκτραχηλιζούσης,σης,ε,-20.0,VERB,v-sppafg-,Case=Gen|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἐπαίρει,"(ὑποσκελιζούσης,)",False,x̓xxxx́xxx,False,False,False,False,Gen,Fem,Sing,Pres,Part,Act,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἐκτραχηλιζούσης,(),False,xxx̀,False,False,False,False,,,,,,,,
ὑποσκελιζούσης,ὑποσκελιζούσης,ὑποσκελιζούσης,ὑποσκελιζούσης,σης,υ,-20.0,VERB,v-sppafg-,Case=Gen|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,conj,0.0,ἐκτραχηλιζούσης,"(ἐκτραχηλιζούσης,)",False,x̔xxxx́xxx,False,False,False,False,Gen,Fem,Sing,Pres,Part,Act,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἀκρασίας,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,
ἀκρασίας,ἀκρασίας,ἀκρασία,ἀκρασίας,́ας,α,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obj,0.0,ἐκτραχηλιζούσης,(),False,x̓xxxx́xx,False,False,False,False,Gen,Fem,Sing,,,,,
