orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Degree,Aspect
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,νοητοῖς,(),False,x̓x,False,False,False,False,,,,,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἐπιδείκνυται,(),False,xx̀x,False,False,False,False,,,,,,,,,,
οὖν,οὖν,οὖν,οὖν,̓͂ν,ο,-20.0,ADV,d--------,,advmod,0.0,ἐπιδείκνυται,(),False,xx̓͂x,False,False,False,False,,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---nd-,Case=Dat|Gender=Neut|Number=Plur,det,0.0,νοητοῖς,(),False,xxx͂x,False,False,False,False,Dat,Neut,Plur,,,,,,,
νοητοῖς,νοητοῖς,νοητοῖς,νοητοῖς,ῖς,ν,-20.0,ADJ,a-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obl,0.0,ἐπιδείκνυται,"(περιόδοις,)",False,xxxx͂x,False,False,False,False,Dat,Neut,Plur,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,ἀκίνητον,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,,
ἀκίνητον,ἀκίνητον,ἀκίνητος,ἀκίνητον,τον,α,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,ἐπιδείκνυται,"(ἀπαθὲς,)",False,x̓xx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀκίνητον,(),False,xxx̀,False,False,False,False,,,,,,,,,,
ἀπαθὲς,ἀπαθὲς,ἀπαθὲςς,ἀπαθὲς,ὲς,α,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,conj,0.0,ἀκίνητον,"(ἀκίνητον,)",False,x̓xxxx̀x,False,False,False,False,Nom,Neut,Sing,,,,,,,
ἐπιδείκνυται,ἐπιδείκνυται,ἐπιδείκνυμι,ἐπιδείκνυται,ται,ε,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἐπιδείκνυται,"(δύναμιν,)",False,x̓xxxx́xxxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Mid,,
ἑβδομάς,ἑβδομάς,ἑβδομάς,ἑβδομάς,άς,ε,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obl,0.0,ἐπιδείκνυται,(),False,x̔xxxx́x,False,False,False,False,Acc,Fem,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐν,(),False,",",False,True,False,False,,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,νοητοῖς,(),False,x̓x,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,dep,0.0,ἐπιδείκνυται,(),False,xx̀,False,False,False,False,,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---nd-,Case=Dat|Gender=Neut|Number=Plur,det,0.0,αἰσθητοῖς,(),False,xxx͂x,False,False,False,False,Dat,Neut,Plur,,,,,,,
αἰσθητοῖς,αἰσθητοῖς,αἰσθητοῖς,αἰσθητοῖς,ῖς,α,-20.0,ADJ,a-p---nd-,Case=Dat|Gender=Neut|Number=Plur,orphan,0.0,δύναμιν,(),False,xx̓xxxx͂x,False,False,False,False,Dat,Neut,Plur,,,,,,,
μεγάλην,μεγάλην,μεγάλην,μεγάλην,λην,μ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,amod,0.0,δύναμιν,"(συνεκτικωτάτην,)",False,xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,μεγάλην,(),False,xxx̀,False,False,False,False,,,,,,,,,,
