orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,ἄκρας,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐκτρέπεται,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,δυνάμενα,(),False,’,False,True,False,False,,,,,,,,,
ὑποδρόμοις,ὑποδρόμοις,ὑποδρόμος,ὑποδρόμοις,οις,υ,-20.0,ADJ,a-p---nd-,Case=Dat|Gender=Neut|Number=Plur,amod,0.0,λιμέσι,(),False,x̔xxxx́xxxx,False,False,False,False,Dat,Neut,Plur,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ὑποδρόμοις,(),False,xxx̀,False,False,False,False,,,,,,,,,
λιμέσι,λιμέσι,λιμές,λιμέσι,́σι,λ,-20.0,NOUN,n-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obl,0.0,δυνάμενα,(),False,xxxx́xx,False,False,False,False,Dat,Neut,Plur,,,,,,
μήτε᾽,μήτε᾽,μήτε᾽,μήτε᾽,τε᾽,μ,-20.0,ADP,r--------,,case,0.0,γῆν,(),False,xx́xx᾽,False,False,False,False,,,,,,,,,
ἐπὶ,ἐπὶ,ἐπὶ,ἐπὶ,πὶ,ε,-20.0,ADP,r--------,,case,0.0,γῆν,(),False,x̓xx̀,False,False,False,False,,,,,,,,,
γῆν,γῆν,γῆ,γῆν,ῆν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἀνέρπειν,(),False,xx͂x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἀνέρπειν,ἀνέρπειν,ἀνέρπω,ἀνέρπειν,ειν,α,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,xcomp,0.0,δυνάμενα,(),False,x̓xx́xxxx,False,False,False,False,,,,Pres,Inf,Act,,,
μήτε,μήτε,μήτε,μήτε,́τε,μ,-20.0,ADV,d--------,,advmod,0.0,δυνάμενα,(),False,xx́xx,False,False,False,False,,,,,,,,,
πόρρω,πόρρω,πόρρω,πόρρω,ρρω,π,-20.0,ADV,d--------,,advmod,0.0,ἐπινήχεσθαι,(),False,xx́xxx,False,False,False,False,,,,,,,,,
γῆς,γῆς,γῆ,γῆς,ῆς,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obj,0.0,ἐπινήχεσθαι,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
