orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect
πρώτη,πρώτη,πρώτη,πρώτη,́τη,π,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,xcomp,0.0,ἔδειξε,(),False,xxx́xx,False,False,False,False,Nom,Fem,Sing,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ἔδειξε,(),False,xx̀x,False,False,False,False,,,,,,,,,
αὕτη,αὕτη,αὕτη,αὕτη,́τη,α,-20.0,PRON,p-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ἔδειξε,(),False,xx̔́xx,False,False,False,False,Nom,Fem,Sing,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,φύσιν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,φύσιν,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
στερεοῦ,στερεοῦ,στερεοῦ,στερεοῦ,οῦ,σ,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,φύσιν,(),False,xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
φύσιν,φύσιν,φύσις,φύσιν,σιν,φ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἔδειξε,(),False,xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,
ἔδειξε,ἔδειξε,ἔδειξε,ἔδειξε,ιξε,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἔδειξε,(),False,x̓́xxxx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀνακειμένων,(),False,",",False,True,False,False,,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἀριθμῶν,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
πρὸ,πρὸ,πρὸ,πρὸ,ρὸ,π,-20.0,ADP,r--------,,case,0.0,αὐτῆς,(),False,xxx̀,False,False,False,False,,,,,,,,,
αὐτῆς,αὐτῆς,αὐτῆς,αὐτῆς,ῆς,α,-20.0,PRON,p-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἀριθμῶν,(),False,xx̓xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
ἀριθμῶν,ἀριθμῶν,ἀριθμῶν,ἀριθμῶν,ῶν,α,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nsubj,0.0,ἀνακειμένων,(),False,x̓xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,ἀσωμάτοις,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,
ἀσωμάτοις,ἀσωμάτοις,ἀσωμάτος,ἀσωμάτοις,οις,α,-20.0,ADJ,a-p---md-,Case=Dat|Gender=Masc|Number=Plur,obj,0.0,ἀνακειμένων,(),False,x̓xxxx́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,
ἀνακειμένων,ἀνακειμένων,ἀνακειμένων,ἀνακειμένων,νων,α,-20.0,VERB,v-pppemg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ἔδειξε,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Masc,Plur,,,Pres,Part,Mid,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἔδειξε,(),False,·,False,True,False,False,,,,,,,,,
