orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person
συνισταμένων,συνισταμένων,συνισταμένων,συνισταμένων,νων,σ,-20.0,VERB,v-pppemg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,ὑπεγράφετο,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Plur,Pres,Part,Mid,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,Df,,discourse,0.0,συνισταμένων,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,συνισταμένων,(),False,’,False,True,False,False,,,,,,,,,
ὁμοῦ,ὁμοῦ,ὁμοῦ,ὁμοῦ,οῦ,ο,-20.0,ADV,d--------,,advmod,0.0,συνισταμένων,(),False,x̔xxx͂,False,False,False,False,,,,,,,,,
πάντων,πάντων,πάντων,πάντων,των,π,-20.0,ADJ,Px,Case=Gen|Gender=Masc|Number=Plur,nsubj,0.0,συνισταμένων,(),False,xx́xxxx,False,False,False,False,Gen,Masc,Plur,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,συνισταμένων,(),False,",",False,True,False,False,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,τάξις,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,
τάξις,τάξις,τάξις,τάξις,ξις,τ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ὑπεγράφετο,(),False,xx́xxx,False,False,False,False,Nom,Fem,Sing,,,,,,
ἀναγκαίως,ἀναγκαίως,ἀναγκαίως,ἀναγκαίως,́ως,α,-20.0,ADV,d--------,,advmod,0.0,ὑπεγράφετο,(),False,x̓xxxx́xx,False,False,False,False,,,,,,,,,
λόγῳ,λόγῳ,λόγῳ,λόγῳ,γῳ,λ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,ὑπεγράφετο,(),False,xx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,,
ὑπεγράφετο,ὑπεγράφετο,ὑπαγράφω,ὑπεγράφετο,ετο,υ,-20.0,VERB,v3siie---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,ὑπεγράφετο,(),False,x̔xxxx́xxxx,False,False,False,False,,,Sing,Past,Fin,Mid,Imp,Ind,3
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,γένεσιν,(),False,xxx̀,False,False,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,γένεσιν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἐσομένην,ἐσομένην,ἐσομένην,ἐσομένην,νην,ε,-20.0,AUX,v-sfpmfa-,Case=Acc|Gender=Fem|Number=Sing|Tense=Fut|VerbForm=Part|Voice=Mid,nmod,0.0,γένεσιν,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Fem,Sing,Fut,Part,Mid,,,
αὖθις,αὖθις,αὖθις,αὖθις,θις,α,-20.0,ADV,d--------,,advmod,0.0,ἐσομένην,(),False,xx̓͂xxx,False,False,False,False,,,,,,,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,ἀλλήλων,(),False,x̓x,False,False,False,False,,,,,,,,,
ἀλλήλων,ἀλλήλων,ἀλλήλων,ἀλλήλων,λων,α,-20.0,PRON,Pc,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,γένεσιν,(),False,x̓xxx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,
γένεσιν,γένεσιν,γένεσις,γένεσιν,σιν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ὑπεγράφετο,(),False,xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ὑπεγράφετο,(),False,.,False,True,False,False,,,,,,,,,
