orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect
οὗτοι,οὗτοι,οὗτος,οὗτοι,τοι,ο,-20.0,PRON,p-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nsubj,0.0,τίνες,(),False,xx̔͂xxx,False,False,False,False,Nom,Masc,Plur,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,τίνες,(),False,xx̀,False,False,False,False,,,,,,,,,
τίνες,τίνες,τίς,τίνες,νες,τ,-20.0,PRON,p-p---mn-,Case=Nom|Gender=Masc|Number=Plur,nmod,0.0,φύσεις,(),False,xx́xxx,False,False,False,False,Nom,Masc,Plur,,,,,,
ἄν,ἄν,ἄν,ἄν,̓́ν,α,-20.0,ADV,d--------,,advmod,0.0,φύσεις,(),False,x̓́x,False,False,False,False,,,,,,,,,
εἶεν,εἶεν,εἶεν,εἶεν,͂εν,ε,-20.0,AUX,v3ppoa---,Mood=Opt|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,φύσεις,(),False,xx̓͂xx,False,False,False,False,,,Plur,Opt,3,Pres,Fin,Act,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,ADV,d--------,,mark,0.0,λογικαὶ,(),False,x̔́xx,False,False,False,False,,,,,,,,,
μὴ,μὴ,μὴ,μὴ,μὴ,μ,-20.0,ADV,d--------,,advmod,0.0,λογικαὶ,(),False,xx̀,False,False,False,False,,,,,,,,,
λογικαὶ,λογικαὶ,λογικαὶ,λογικαὶ,αὶ,λ,-20.0,ADJ,a-p---fn-,Case=Nom|Gender=Fem|Number=Plur,amod,0.0,φύσεις,"(θεῖαι,)",False,xxxx̀,False,False,False,False,Nom,Fem,Plur,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,λογικαὶ,(),False,xxx̀,False,False,False,False,,,,,,,,,
θεῖαι,θεῖαι,θεῖος,θεῖαι,͂αι,θ,-20.0,ADJ,a-p---fn-,Case=Nom|Gender=Fem|Number=Plur,conj,0.0,λογικαὶ,"(λογικαὶ,)",False,xxx͂xx,False,False,False,False,Nom,Fem,Plur,,,,,,
φύσεις,φύσεις,φύσις,φύσεις,εις,φ,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,ROOT,0.0,φύσεις,(),False,xx́xxxx,False,False,False,False,Nom,Fem,Plur,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀσώματοι,(),False,",",False,True,False,False,,,,,,,,,
αἱ,αἱ,αἱ,αἱ,αἱ,α,-20.0,DET,l-p---fn-,Case=Nom|Gender=Fem|Number=Plur,det,0.0,ἀσώματοι,(),False,xx̔,False,False,False,False,Nom,Fem,Plur,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,αἱ,(),False,xx̀x,False,False,False,False,,,,,,,,,
ἀσώματοι,ἀσώματοι,ἀσώματος,ἀσώματοι,τοι,α,-20.0,ADJ,a-p---fn-,Case=Nom|Gender=Fem|Number=Plur,appos,0.0,φύσεις,"(νοηταί, σωμάτων)",False,x̓xx́xxxx,False,False,False,False,Nom,Fem,Plur,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀσώματοι,(),False,xxx̀,False,False,False,False,,,,,,,,,
νοηταί,νοηταί,νοηταί,νοηταί,αί,ν,-20.0,ADJ,a-p---fn-,Case=Nom|Gender=Fem|Number=Plur,conj,0.0,ἀσώματοι,"(ἀσώματοι, σωμάτων)",False,xxxx́,False,False,False,False,Nom,Fem,Plur,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,αἱ,(),False,",",False,True,False,False,,,,,,,,,
αἱ,αἱ,αἱ,αἱ,αἱ,α,-20.0,DET,l-p---fn-,Case=Nom|Gender=Fem|Number=Plur,det,0.0,νοηταί,(),False,xx̔,False,False,False,False,Nom,Fem,Plur,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἀσώματοι,(),False,xx̀,False,False,False,False,,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,σωμάτων,(),False,xx̓,False,False,False,False,,,,,,,,,
ἄνευ,ἄνευ,ἄνευ,ἄνευ,νευ,α,-20.0,ADP,R-,,case,0.0,σωμάτων,(),False,x̓́xxx,False,False,False,False,,,,,,,,,
σωμάτων,σωμάτων,σωμάτον,σωμάτων,των,σ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,conj,0.0,ἀσώματοι,"(ἀσώματοι, νοηταί)",False,xxxx́xxx,False,False,False,False,Gen,Neut,Plur,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,συμβέβηκε,(),False,",",False,True,False,False,,,,,,,,,
ὁποίους,ὁποίους,ὁποίους,ὁποίους,ους,ο,-20.0,ADJ,a-p---ma-,Case=Acc|Gender=Masc|Number=Plur,nmod,0.0,συμβέβηκε,(),False,x̔xxx́xxx,False,False,False,False,Acc,Masc,Plur,,,,,,
συμβέβηκε,συμβέβηκε,συμβέβηκε,συμβέβηκε,ηκε,σ,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,appos,0.0,ἀσώματοι,(),False,xxxx́xxxx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,Perf
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,συμβέβηκε,(),False,xx̓͂xxx,False,False,False,False,,,,,,Pres,Inf,Act,
τοὺς,τοὺς,τοὺς,τοὺς,ὺς,τ,-20.0,DET,l-p---ma-,Case=Acc|Gender=Masc|Number=Plur,det,0.0,ἀστέρας,(),False,xxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,
ἀστέρας,ἀστέρας,ἀστέρας,ἀστέρας,ρας,α,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,nsubj,0.0,συμβέβηκε,(),False,x̓xxx́xxx,False,False,False,False,Acc,Masc,Plur,,,,,,
;,;,;,;,;,;,-20.0,PUNCT,u--------,,ROOT,0.0,;,(),False,;,False,True,False,False,,,,,,,,,
