orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender
ἔστι,ἔστι,ἔστι,ἔστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,πλάσματα,(),False,x̓́xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,πλάσματα,(),False,xx̀,False,False,False,False,,,,,,,,
ταῦτα,ταῦτα,ταῦτα,ταῦτα,͂τα,τ,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,πλάσματα,(),False,xxx͂xx,False,False,False,False,,Plur,,,,,Nom,Neut
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,πλάσματα,(),False,xx̓,False,False,False,False,,,,,,,,
μύθου,μύθου,μύθος,μύθου,θου,μ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,πλάσματα,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Gen,Masc
πλάσματα,πλάσματα,πλάσματον,πλάσματα,ατα,π,-20.0,NOUN,n-p---nn-,Case=Nom|Gender=Neut|Number=Plur,ROOT,0.0,πλάσματα,(),False,xxx́xxxx,False,False,False,False,,Plur,,,,,Nom,Neut
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,χαίρει,(),False,",",False,True,False,False,,,,,,,,
οἷς,οἷς,οἷς,οἷς,̔͂ς,ο,-20.0,PRON,p-p---md-,Case=Dat|Gender=Masc|Number=Plur,obj,0.0,χαίρει,(),False,xx̔͂x,False,False,False,False,,Plur,,,,,Dat,Masc
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,γένος,(),False,xx̀,False,False,False,False,,Sing,,,,,Nom,Neut
ποιητικὸν,ποιητικὸν,ποιητικὸν,ποιητικὸν,ὸν,π,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,amod,0.0,γένος,"(σοφιστικὸν,)",False,xxxx̀x,False,False,False,False,,Sing,,,,,Nom,Neut
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ποιητικὸν,(),False,xxx̀,False,False,False,False,,,,,,,,
