orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree
περιέχει,περιέχει,περιέχω,περιέχει,χει,π,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,περιέχει,(),False,xxxx́xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,discourse,0.0,περιέχει,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,περιέχει,(),False,’,False,True,False,False,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,τετρὰς,(),False,x̔,False,False,False,False,,Sing,,,,,Nom,Fem,
τετρὰς,τετρὰς,τετρὰς,τετρὰς,ὰς,τ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,περιέχει,(),False,xxxx̀x,False,False,False,False,,Sing,,,,,Nom,Fem,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,d--------,,advmod,0.0,περιέχει,(),False,xxx̀,False,False,False,False,,,,,,,,,
τοὺς,τοὺς,τοὺς,τοὺς,ὺς,τ,-20.0,DET,l-p---ma-,Case=Acc|Gender=Masc|Number=Plur,det,0.0,λόγους,(),False,xxx̀x,False,False,False,False,,Plur,,,,,Acc,Masc,
λόγους,λόγους,λόγος,λόγους,ους,λ,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obj,0.0,περιέχει,(),False,xx́xxxx,False,False,False,False,,Plur,,,,,Acc,Masc,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---fg-,Case=Gen|Gender=Fem|Number=Plur,det,0.0,συμφωνιῶν,(),False,xx͂x,False,False,False,False,,Plur,,,,,Gen,Fem,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,μουσικὴν,(),False,xxxx̀,False,False,False,False,,,,,,,,,
μουσικὴν,μουσικὴν,μουσικὴ,μουσικὴν,ὴν,μ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,συμφωνιῶν,(),False,xxxx̀x,False,False,False,False,,Sing,,,,,Acc,Fem,
συμφωνιῶν,συμφωνιῶν,συμφωνιῶν,συμφωνιῶν,ῶν,σ,-20.0,NOUN,n-p---fg-,Case=Gen|Gender=Fem|Number=Plur,nmod,0.0,λόγους,(),False,xxxx͂x,False,False,False,False,,Plur,,,,,Gen,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τεττάρων,(),False,",",False,True,False,False,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,τεττάρων,(),False,xx͂x,False,False,False,False,,Sing,,,,,Gen,Fem,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,τεττάρων,(),True,xx,True,False,False,False,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,τεττάρων,(),False,xxx̀,False,False,False,False,,,,,,,,,
τεττάρων,τεττάρων,τεττάρων,τεττάρων,ρων,τ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,obl,0.0,πασῶν,"(πέντε, πασῶν, προσέτι, δὶς)",False,xxxx́xxx,False,False,False,False,,Plur,,,,,Gen,Masc,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,τεττάρων,(),False,xxx̀,False,False,False,False,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,πέντε,(),False,xxx̀,False,False,False,False,,,,,,,,,
πέντε,πέντε,πέντε,πέντε,ντε,π,-20.0,NUM,Ma,,conj,0.0,τεττάρων,"(τεττάρων, πασῶν, προσέτι, δὶς)",False,xx́xxx,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,τεττάρων,(),False,xxx̀,False,False,False,False,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,πασῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,
πασῶν,πασῶν,πασῶν,πασῶν,ῶν,π,-20.0,ADJ,a-p---fg-,Case=Gen|Gender=Fem|Number=Plur,conj,0.0,τεττάρων,"(τεττάρων, πέντε, προσέτι, δὶς)",False,xxxx͂x,False,False,False,False,,Plur,,,,,Gen,Fem,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,τεττάρων,(),False,xxx̀,False,False,False,False,,,,,,,,,
προσέτι,προσέτι,προσέτι,προσέτι,́τι,π,-20.0,ADV,d--------,,conj,0.0,τεττάρων,"(τεττάρων, πέντε, πασῶν, δὶς)",False,xxxx́xx,False,False,False,False,,,,,,,,,
δὶς,δὶς,δὶς,δὶς,ὶς,δ,-20.0,ADV,d--------,,conj,0.0,τεττάρων,"(τεττάρων, πέντε, πασῶν, προσέτι)",False,xx̀x,False,False,False,False,,,,,,,,,
