orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,ὄσφρησιν,(),False,xx̓x,False,False,False,False,,,,,,,,
ὄσφρησιν,ὄσφρησιν,ὄσφρησις,ὄσφρησιν,σιν,ο,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,ROOT,0.0,ὄσφρησιν,(),False,x̓́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἁφήν,(),False,",",False,True,False,False,,,,,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,ἁφήν,(),False,xx̓x,False,False,False,False,,,,,,,,
ἁφήν,ἁφήν,ἁφή,ἁφήν,ήν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ὄσφρησιν,(),False,x̔xx́x,False,False,False,False,Acc,Fem,Sing,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,ROOT,0.0,·,(),False,·,False,True,False,False,,,,,,,,
ἑκάστῃ,ἑκάστῃ,ἑκάστῃ,ἑκάστῃ,τῃ,ε,-20.0,ADJ,a-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,προσένειμεν,(),False,x̔xx́xxxͅ,False,False,False,False,Dat,Fem,Sing,,,,,
μέντοι,μέντοι,μέντοι,μέντοι,τοι,μ,-20.0,ADV,d--------,,advmod,0.0,προσένειμεν,(),False,xx́xxxx,False,False,False,False,,,,,,,,
προσένειμεν,προσένειμεν,προσένειμεν,προσένειμεν,μεν,π,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,ROOT,0.0,προσένειμεν,(),False,xxxx́xxxx,False,False,False,False,,,,Past,Inf,Act,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ποιῶν,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,
ποιῶν,ποιῶν,ποιῶ,ποιῶν,ῶν,π,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,nsubj,0.0,προσένειμεν,"(κριτήριον,)",False,xxxx͂x,False,False,False,False,Nom,Masc,Sing,Pres,Part,Act,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ποιῶν,(),False,xxx̀,False,False,False,False,,,,,,,,
ἐξαιρέτους,ἐξαιρέτους,ἐξαιρέτους,ἐξαιρέτους,ους,ε,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,amod,0.0,ὕλας,(),False,x̓xxxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,
ὕλας,ὕλας,ὕλη,ὕλας,λας,υ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ποιῶν,(),False,x̔́xxx,False,False,False,False,Acc,Fem,Plur,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ποιῶν,(),False,xxx̀,False,False,False,False,,,,,,,,
κριτήριον,κριτήριον,κριτήριον,κριτήριον,ιον,κ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,conj,0.0,ποιῶν,"(ποιῶν,)",False,xxxx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,
