orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Degree,Aspect
διὸ,διὸ,διὸ,διὸ,ιὸ,δ,-20.0,ADV,d--------,,advmod,0.0,εἴποι,(),False,xxx̀,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,εἴποι,(),False,xxx̀,False,False,False,False,,,,,,,,,,
κυρίως,κυρίως,κυρίως,κυρίως,́ως,κ,-20.0,ADV,d--------,,advmod,0.0,εἴποι,(),False,xxxx́xx,False,False,False,False,,,,,,,,,,
ἄν,ἄν,ἄν,ἄν,̓́ν,α,-20.0,ADV,d--------,,advmod,0.0,εἴποι,(),False,x̓́x,False,False,False,False,,,,,,,,,,
τις,τις,τις,τις,τις,τ,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,εἴποι,(),True,xxx,True,False,False,False,Nom,Masc,Sing,,,,,,,
εἴποι,εἴποι,εἴποι,εἴποι,ποι,ε,-20.0,VERB,v3saoa---,Mood=Opt|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,εἴποι,(),False,xx̓́xxx,False,False,False,False,,,Sing,Opt,3,Past,Fin,Act,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἄνθρωπον,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,
ἄνθρωπον,ἄνθρωπον,ἄνθρωπος,ἄνθρωπον,πον,α,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nsubj,0.0,μεθόριον,(),False,x̓́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,
θνητῆς,θνητῆς,θνητῆς,θνητῆς,ῆς,θ,-20.0,ADJ,a-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,φύσεως,"(ἀθανάτου,)",False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,θνητῆς,(),False,xxx̀,False,False,False,False,,,,,,,,,,
