orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender
καθάπερ,καθάπερ,καθά,καθάπερ,περ,κ,-20.0,SCONJ,c--------,,mark,0.0,ἀποδείξομεν,(),False,xxxx́xxx,False,False,False,False,,,,,,,,
ἀποδείξομεν,ἀποδείξομεν,ἀποδείγω,ἀποδείξομεν,μεν,α,-20.0,VERB,v1pfia---,Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀποδείξομεν,(),False,x̓xxxx́xxxx,False,False,False,False,Ind,Plur,1,Fut,Fin,Act,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μετέλθωμεν,(),False,",",False,True,False,False,,,,,,,,
ὅταν,ὅταν,ὅταν,ὅταν,ταν,ο,-20.0,SCONJ,c--------,,mark,0.0,μετέλθωμεν,(),False,x̔́xxx,False,False,False,False,,,,,,,,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,case,0.0,ἀριθμῶν,(),False,x̓xx̀,False,False,False,False,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,ἀριθμῶν,(),False,xx͂x,False,False,False,False,,Plur,,,,,Gen,Masc
ἀριθμῶν,ἀριθμῶν,ἀριθμῶν,ἀριθμῶν,ῶν,α,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,obl,0.0,μετέλθωμεν,(),False,x̓xxxx͂x,False,False,False,False,,Plur,,,,,Gen,Masc
μετέλθωμεν,μετέλθωμεν,μεετέλθω,μετέλθωμεν,μεν,μ,-20.0,VERB,v1pasa---,Mood=Sub|Number=Plur|Person=1|Tense=Past|VerbForm=Fin|Voice=Act,advcl,0.0,ἀποδείξομεν,(),False,xxxx́xxxx,False,False,False,False,Sub,Plur,1,Past,Fin,Act,,
ἐπὶ,ἐπὶ,ἐπὶ,ἐπὶ,πὶ,ε,-20.0,ADP,r--------,,case,0.0,λόγον,(),False,x̓xx̀,False,False,False,False,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,λόγον,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Masc
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἁρμονίαις,(),False,x̓x,False,False,False,False,,,,,,,,
ἁρμονίαις,ἁρμονίαις,ἁρμονία,ἁρμονίαις,αις,α,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,nmod,0.0,λόγον,(),False,x̔xxxx́xxx,False,False,False,False,,Plur,,,,,Dat,Fem
λόγον,λόγον,λόγος,λόγον,γον,λ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obl,0.0,μετέλθωμεν,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Acc,Masc
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἀποδείξομεν,(),False,·,False,True,False,False,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,πέντε,(),False,xx̀,False,False,False,False,,Plur,,,,,Nom,Neut
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐπιδείκνυται,(),False,xx̀,False,False,False,False,,,,,,,,
πέντε,πέντε,πέντε,πέντε,ντε,π,-20.0,NUM,m--------,,nsubj,0.0,ἐπιδείκνυται,(),False,xx́xxx,False,False,False,False,,,,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,δύο,(),False,xxx̀x,False,False,False,False,,,,,,,,
δύο,δύο,δύο,δύο,ύο,δ,-20.0,NUM,m--------,,fixed,0.0,πέντε,(),False,xx́x,False,False,False,False,,,,,,,,
πλείστην,πλείστην,πλείστην,πλείστην,την,π,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,δύναμιν,(),False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Acc,Fem
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἁρμονίᾳ,(),False,x̓x,False,False,False,False,,,,,,,,
ἁρμονίᾳ,ἁρμονίᾳ,ἁρμονίᾳ,ἁρμονίᾳ,́ᾳ,α,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,πλείστην,(),False,x̔xxxx́xͅ,False,False,False,False,,Sing,,,,,Dat,Fem
δύναμιν,δύναμιν,δύναμις,δύναμιν,μιν,δ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐπιδείκνυται,(),False,xx́xxxx,False,False,False,False,,Sing,,,,,Acc,Fem
ἐπιδείκνυται,ἐπιδείκνυται,ἐπιδείκνυται,ἐπιδείκνυται,ται,ε,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἐπιδείκνυται,(),False,x̓xxxx́xxxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Mid,,
σχεδὸν,σχεδὸν,σχεδὸν,σχεδὸν,ὸν,σ,-20.0,ADV,d--------,,advmod,0.0,ἐνάμιλλον,(),False,xxxx̀x,False,False,False,False,,,,,,,,
ἐνάμιλλον,ἐνάμιλλον,ἐνάμιλλος,ἐνάμιλλον,λον,ε,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,ἐπιδείκνυται,(),False,x̓xx́xxxx,False,False,False,False,,Sing,,,,,Acc,Neut
