orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ἱπποκράτης,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,φησι,(),False,xx̀,False,False,False,False,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἱπποκράτης,(),False,’,False,True,False,False,,,,,,,,
ἰατρὸς,ἰατρὸς,ἰατρὸς,ἰατρὸς,ὸς,ι,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,ἱπποκράτης,(),False,x̓xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,
ἱπποκράτης,ἱπποκράτης,ἱπποκράτης,ἱπποκράτης,της,ι,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἡλικίας,(),False,x̔xxxx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,
ἡλικίας,ἡλικίας,ἡλικία,ἡλικίας,́ας,η,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,ccomp,0.0,φησι,(),False,x̔xxxx́xx,False,False,False,False,Acc,Fem,Plur,,,,,
ἑπτὰ,ἑπτὰ,ἑπτὰ,ἑπτὰ,τὰ,ε,-20.0,NUM,m--------,,acl,0.0,ἡλικίας,(),False,x̔xxx̀,False,False,False,False,,,,,,,,
εἶναί,εἶναί,εἶναί,εἶναί,αί,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,ἡλικίας,(),False,xx̓͂xxx́,False,False,False,False,,,,Pres,Inf,Act,,
φησι,φησι,φημί,φησι,ησι,φ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,φησι,(),False,xxxx,True,False,False,False,,,Sing,Pres,Fin,Act,Ind,3
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,παιδίου,(),False,",",False,True,False,False,,,,,,,,
παιδίου,παιδίου,παιδίον,παιδίου,́ου,π,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,appos,0.0,ἱπποκράτης,"(παιδός, μειρακίου, νεανίσκου, ἀνδρός, ταύτας, μετρεῖσθαι)",False,xxxx́xx,False,False,False,False,Gen,Neut,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,παιδός,(),False,",",False,True,False,False,,,,,,,,
παιδός,παιδός,παιδός,παιδός,ός,π,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,παιδίου,"(παιδίου, μειρακίου, νεανίσκου, ἀνδρός, ταύτας, μετρεῖσθαι)",False,xxxx́x,False,False,False,False,Gen,Masc,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μειρακίου,(),False,",",False,True,False,False,,,,,,,,
μειρακίου,μειρακίου,μειρακίου,μειρακίου,́ου,μ,-20.0,NOUN,Nb,Case=Gen|Gender=Neut|Number=Sing,conj,0.0,παιδίου,"(παιδίου, παιδός, νεανίσκου, ἀνδρός, ταύτας, μετρεῖσθαι)",False,xxxx́xx,False,False,False,False,Gen,Neut,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,νεανίσκου,(),False,",",False,True,False,False,,,,,,,,
νεανίσκου,νεανίσκου,νεανίσκης,νεανίσκου,κου,ν,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,παιδίου,"(παιδίου, παιδός, μειρακίου, ἀνδρός, ταύτας, μετρεῖσθαι)",False,xxxx́xxxx,False,False,False,False,Gen,Masc,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀνδρός,(),False,",",False,True,False,False,,,,,,,,
ἀνδρός,ἀνδρός,ἀνδρός,ἀνδρός,ός,α,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,παιδίου,"(παιδίου, παιδός, μειρακίου, νεανίσκου, ταύτας, μετρεῖσθαι)",False,x̓xxxx́x,False,False,False,False,Gen,Masc,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,πρεσβύτου,(),False,",",False,True,False,False,,,,,,,,
πρεσβύτου,πρεσβύτου,πρεσβύτης,πρεσβύτου,του,π,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,παιδίου,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,γέροντος,(),False,",",False,True,False,False,,,,,,,,
γέροντος,γέροντος,γέρων,γέροντος,τος,γ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,παιδίου,(),False,xx́xxxx,False,False,False,False,Gen,Masc,Sing,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ταύτας,(),False,",",False,True,False,False,,,,,,,,
ταύτας,ταύτας,ταύτας,ταύτας,τας,τ,-20.0,PRON,p-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,παιδίου,"(παιδίου, παιδός, μειρακίου, νεανίσκου, ἀνδρός, μετρεῖσθαι)",False,xxx́xxx,False,False,False,False,Acc,Fem,Plur,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,παιδίου,(),False,xx̀,False,False,False,False,,,,,,,,
μετρεῖσθαι,μετρεῖσθαι,μετρεῖσθαι,μετρεῖσθαι,θαι,μ,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,conj,0.0,παιδίου,"(παιδίου, παιδός, μειρακίου, νεανίσκου, ἀνδρός, ταύτας)",False,xxxx͂xxxx,False,False,False,False,,,,Pres,Inf,Mid,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,μετρεῖσθαι,(),False,xx̀x,False,False,False,False,,,,,,,,
