orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender
λέγει,λέγει,λέγω,λέγει,γει,λ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,λέγει,(),False,xx́xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,discourse,0.0,λέγει,(),False,xx̀,False,False,False,False,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,λέγει,(),False,’,False,True,False,False,,,,,,,,
οὕτως,οὕτως,οὕτως,οὕτως,τως,ο,-20.0,ADV,d--------,,advmod,0.0,λέγει,(),False,xx̔́xxx,False,False,False,False,,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,λέγει,(),False,·,False,True,False,False,,,,,,,,
„,„,„,"""",„,„,-20.0,ADV,d--------,,advmod,0.0,ὧραι,(),False,„,False,True,False,False,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,φύσει,(),False,x̓x,False,False,False,False,,,,,,,,
ἀνθρώπου,ἀνθρώπου,ἀνθρώπου,ἀνθρώπου,που,α,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,φύσει,(),False,x̓xxxx́xxx,False,False,False,False,,Sing,,,,,Gen,Masc
φύσει,φύσει,φύσις,φύσει,σει,φ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ἑπτά,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Dat,Fem
ἑπτά,ἑπτά,ἑπτά,ἑπτά,τά,ε,-20.0,NUM,m--------,,nummod,0.0,ὧραι,(),False,x̔xxx́,False,False,False,False,,,,,,,,
εἰσι,εἰσι,εἰμί,εἰσι,̓σι,ε,-20.0,AUX,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ὧραι,(),False,xx̓xx,False,False,False,False,Ind,Plur,3,Pres,Fin,Act,,
ὧραι,ὧραι,ὧραι,ὧραι,ραι,ω,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,ROOT,0.0,ὧραι,(),False,x̔͂xxx,False,False,False,False,,Plur,,,,,Nom,Fem
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,καλέουσι,(),False,",",False,True,False,False,,,,,,,,
ἃς,ἃς,ἃς,ἃς,̔̀ς,α,-20.0,PRON,p-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,καλέουσι,(),False,x̔̀x,False,False,False,False,,Plur,,,,,Acc,Fem
ἡλικίας,ἡλικίας,ἡλικία,ἡλικίας,́ας,η,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,καλέουσι,(),False,x̔xxxx́xx,False,False,False,False,,Plur,,,,,Acc,Fem
καλέουσι,καλέουσι,καλέω,καλέουσι,υσι,κ,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,acl,0.0,ὧραι,(),False,xxxx́xxxx,False,False,False,False,Ind,Plur,3,Pres,Fin,Act,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,παιδίον,(),False,",",False,True,False,False,,,,,,,,
παιδίον,παιδίον,παιδίον,παιδίον,́ον,π,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,appos,0.0,ὧραι,(),False,xxxx́xx,False,False,False,False,,Sing,,,,,Nom,Neut
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,παῖς,(),False,",",False,True,False,False,,,,,,,,
παῖς,παῖς,παῖς,παῖς,ῖς,π,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,appos,0.0,ὧραι,(),False,xxx͂x,False,False,False,False,,Sing,,,,,Nom,Masc
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μειράκιον,(),False,",",False,True,False,False,,,,,,,,
μειράκιον,μειράκιον,μειράκιον,μειράκιον,ιον,μ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,appos,0.0,ὧραι,(),False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Nom,Neut
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μειράκιον,(),False,",",False,True,False,False,,,,,,,,
νεανίσκος,νεανίσκος,νεανίσκος,νεανίσκος,κος,ν,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,appos,0.0,ὧραι,(),False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀνήρ,(),False,",",False,True,False,False,,,,,,,,
ἀνήρ,ἀνήρ,ἀνήρ,ἀνήρ,ήρ,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,appos,0.0,ὧραι,(),False,x̓xx́x,False,False,False,False,,Sing,,,,,Nom,Masc
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,πρεσβύτης,(),False,",",False,True,False,False,,,,,,,,
πρεσβύτης,πρεσβύτης,πρεσβύτης,πρεσβύτης,της,π,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,appos,0.0,ὧραι,(),False,xxxx́xxx,False,False,False,False,,Sing,,,,,Nom,Masc
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,γέρων,(),False,",",False,True,False,False,,,,,,,,
γέρων,γέρων,γέρων,γέρων,ρων,γ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,appos,0.0,ὧραι,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Nom,Masc
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ὧραι,(),False,·,False,True,False,False,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἐκβολῆς,(),False,xxx̀,False,False,False,False,,,,,,,,
παιδίον,παιδίον,παιδίον,παιδίον,́ον,π,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,ἐκβολῆς,(),False,xxxx́xx,False,False,False,False,,Sing,,,,,Nom,Neut
μέν,μέν,μέν,μέν,έν,μ,-20.0,ADV,d--------,,advmod,0.0,παιδίον,(),False,xx́x,False,False,False,False,,,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ἐκβολῆς,(),False,x̓xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,
ἄχρις,ἄχρις,ἄχρι,ἄχρις,ρις,α,-20.0,ADP,r--------,,case,0.0,ἐτέων,(),False,x̓́xxxx,False,False,False,False,,,,,,,,
ἑπτὰ,ἑπτὰ,ἑπτὰ,ἑπτὰ,τὰ,ε,-20.0,NUM,m--------,,nummod,0.0,ἐτέων,(),False,x̔xxx̀,False,False,False,False,,,,,,,,
ἐτέων,ἐτέων,ἐτέων,ἐτέων,́ων,ε,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,ἐκβολῆς,(),False,x̓xx́xx,False,False,False,False,,Plur,,,,,Gen,Neut
ὀδόντων,ὀδόντων,ὀδόντ,ὀδόντων,των,ο,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἐκβολῆς,(),False,x̓xx́xxxx,False,False,False,False,,Plur,,,,,Gen,Masc
ἐκβολῆς,ἐκβολῆς,ἐκβολῆς,ἐκβολῆς,ῆς,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,ROOT,0.0,ἐκβολῆς,(),False,x̓xxxx͂x,False,False,False,False,,Sing,,,,,Gen,Fem
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐκβολῆς,(),False,·,False,True,False,False,,,,,,,,
παῖς,παῖς,παῖς,παῖς,ῖς,π,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἐκφύσιος,(),False,xxx͂x,False,False,False,False,,Sing,,,,,Nom,Masc
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐκφύσιος,(),False,xx̀,False,False,False,False,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ἐκφύσιος,(),False,’,False,True,False,False,,,,,,,,
ἄχρι,ἄχρι,ἄχρι,ἄχρι,χρι,α,-20.0,ADP,r--------,,case,0.0,γονῆς,(),False,x̓́xxx,False,False,False,False,,,,,,,,
γονῆς,γονῆς,γονῆ,γονῆς,ῆς,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,ἐκφύσιος,(),False,xxxx͂x,False,False,False,False,,Sing,,,,,Gen,Fem
ἐκφύσιος,ἐκφύσιος,ἐκφύσιος,ἐκφύσιος,ιος,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,ROOT,0.0,ἐκφύσιος,(),False,x̓xxx́xxxx,False,False,False,False,,Sing,,,,,Gen,Fem
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἑπτά,(),False,",",False,True,False,False,,,,,,,,
ἐς,ἐς,ἐς,ἐς,ἐς,ε,-20.0,ADP,r--------,,case,0.0,ἑπτά,(),False,x̓x,False,False,False,False,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,ἑπτά,(),False,xx̀,False,False,False,False,,Plur,,,,,Acc,Neut
δὶς,δὶς,δὶς,δὶς,ὶς,δ,-20.0,ADV,d--------,,advmod,0.0,ἑπτά,(),False,xx̀x,False,False,False,False,,,,,,,,
ἑπτά,ἑπτά,ἑπτά,ἑπτά,τά,ε,-20.0,NUM,m--------,,acl,0.0,ἐκφύσιος,(),False,x̔xxx́,False,False,False,False,,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐκφύσιος,(),False,·,False,True,False,False,,,,,,,,
μειράκιον,μειράκιον,μειράκιον,μειράκιον,ιον,μ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,λαχνώσιος,(),False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Nom,Neut
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,λαχνώσιος,(),False,xx̀,False,False,False,False,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,λαχνώσιος,(),False,’,False,True,False,False,,,,,,,,
ἄχρι,ἄχρι,ἄχρι,ἄχρι,χρι,α,-20.0,ADP,r--------,,case,0.0,γενείου,(),False,x̓́xxx,False,False,False,False,,,,,,,,
γενείου,γενείου,γενείου,γενείου,́ου,γ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,obl,0.0,λαχνώσιος,(),False,xxxx́xx,False,False,False,False,,Sing,,,,,Gen,Neut
λαχνώσιος,λαχνώσιος,λαχνώσιος,λαχνώσιος,ιος,λ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,λαχνώσιος,(),False,xxxx́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,λαχνώσιος,(),False,",",False,True,False,False,,,,,,,,
ἐς,ἐς,ἐς,ἐς,ἐς,ε,-20.0,ADP,r--------,,case,0.0,ἑπτά,(),False,x̓x,False,False,False,False,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,τρὶς,(),False,xx̀,False,False,False,False,,Plur,,,,,Acc,Neut
τρὶς,τρὶς,τρὶς,τρὶς,ὶς,τ,-20.0,ADV,d--------,,advmod,0.0,ἑπτά,(),False,xxx̀x,False,False,False,False,,,,,,,,
