orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person
ταῦτα,ταῦτα,ταῦτα,ταῦτα,͂τα,τ,-20.0,PRON,p-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,διαταξάμενος,(),False,xxx͂xx,False,False,False,False,Acc,Neut,Plur,,,,,,
διαταξάμενος,διαταξάμενος,διαταξάμενος,διαταξάμενος,νος,δ,-20.0,VERB,v-sapmmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,advcl,0.0,ἐτίθετο,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,Past,Part,Mid,,,
ὀνόματ,ὀνόματ,ὀνόματ,ὀνόματ,ματ,ο,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,ἐτίθετο,(),False,x̓xx́xxx,False,False,False,False,Acc,Neut,Plur,,,,,,
’,’,ε,',’,’,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,fixed,0.0,ὀνόματ,(),False,’,False,True,False,False,Acc,Neut,Plur,,,,,,
αὐτοῖς,αὐτοῖς,αὐτοῖς,αὐτοῖς,ῖς,α,-20.0,PRON,p-p---md-,Case=Dat|Gender=Masc|Number=Plur,iobj,0.0,ἐτίθετο,(),False,xx̓xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,
ἐτίθετο,ἐτίθετο,ἐτίθετο,ἐτίθετο,ετο,ε,-20.0,VERB,v3siie---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἐτίθετο,(),False,x̓xx́xxxx,False,False,False,False,,,Sing,Past,Fin,Mid,Imp,Ind,3
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,καλῶν,(),False,",",False,True,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,γῆν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,καλῶν,(),False,xx̀x,False,False,False,False,,,,,,,,,
ξηρὰν,ξηρὰν,ξηρὰν,ξηρὰν,ὰν,ξ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,γῆν,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
καλῶν,καλῶν,καελῶ,καλῶν,ῶν,κ,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἐτίθετο,(),False,xxxx͂x,False,False,False,False,Nom,Masc,Sing,Pres,Part,Act,,,
γῆν,γῆν,γῆ,γῆν,ῆν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,καλῶν,(),False,xx͂x,False,False,False,False,Acc,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τὸ,(),False,",",False,True,False,False,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,γῆν,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,cc,0.0,καλῶν,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,cc,0.0,καλῶν,(),False,’,False,True,False,False,,,,,,,,,
ἀποκριθὲν,ἀποκριθὲν,ἀποκριθὲν,ἀποκριθὲν,ὲν,α,-20.0,VERB,v-sappna-,Case=Acc|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,nmod,0.0,καλῶν,(),False,x̓xxxx̀x,False,False,False,False,Acc,Neut,Sing,Past,Part,Pass,,,
ὕδωρ,ὕδωρ,ὕδωρ,ὕδωρ,δωρ,υ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,καλῶν,(),False,x̔́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,
θάλασσαν,θάλασσαν,θάλασσα,θάλασσαν,σαν,θ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ὕδωρ,(),False,xx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἐτίθετο,(),False,.,False,True,False,False,,,,,,,,,
