orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender
ἐβεβρίθει,ἐβεβρίθει,ἐβεβρίθει,ἐβεβρίθει,θει,ε,-20.0,VERB,v3slia---,Mood=Ind|Number=Sing|Person=3|Tense=Pqp|VerbForm=Fin|Voice=Act,ROOT,0.0,ἐβεβρίθει,(),False,x̓xxxx́xxx,False,False,False,False,Ind,Sing,3,Pqp,Fin,Act,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐβεβρίθει,(),False,xx̀,False,False,False,False,,,,,,,,
πάντα,πάντα,πάντα,πάντα,ντα,π,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,ἐβεβρίθει,(),False,xx́xxx,False,False,False,False,,Plur,,,,,Nom,Neut
καρποῖς,καρποῖς,καρποῖς,καρποῖς,ῖς,κ,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,iobj,0.0,ἐβεβρίθει,(),False,xxxx͂x,False,False,False,False,,Plur,,,,,Dat,Masc
εὐθὺς,εὐθὺς,εὐθὺς,εὐθὺς,ὺς,ε,-20.0,ADV,d--------,,advmod,0.0,ἐβεβρίθει,(),False,xx̓xx̀x,False,False,False,False,,,,,,,,
ἅμα,ἅμα,ἅμα,ἅμα,́μα,α,-20.0,ADP,d--------,,case,0.0,ἐβεβρίθει,(),False,x̔́xx,False,False,False,False,,,,,,,,
τῇ,τῇ,τῇ,τῇ,ῇ,τ,-20.0,DET,l-s---fd-,Case=Dat|Gender=Fem|Number=Sing,det,0.0,γενέσει,(),False,xx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Fem
πρώτῃ,πρώτῃ,πρώτῃ,πρώτῃ,τῃ,π,-20.0,ADJ,Mo,Case=Dat|Gender=Fem|Number=Sing,nmod,0.0,γενέσει,(),False,xxx́xxͅ,False,False,False,False,,Sing,,,,,Dat,Fem
γενέσει,γενέσει,γενέσις,γενέσει,σει,γ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ἅμα,(),False,xxxx́xxx,False,False,False,False,,Sing,,,,,Dat,Fem
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,τρόπον,(),False,xxxx̀,False,False,False,False,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,τρόπον,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Masc
ἐναντίον,ἐναντίον,ἐναντίος,ἐναντίον,́ον,ε,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,amod,0.0,τρόπον,(),False,x̓xxxx́xx,False,False,False,False,,Sing,,,,,Acc,Masc
τρόπον,τρόπον,τρόπος,τρόπον,πον,τ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obl,0.0,ἅμα,(),False,xxx́xxx,False,False,False,False,,Sing,,,,,Acc,Masc
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,ADV,c--------,,mark,0.0,καθεστῶτα,(),False,x̓̀,False,False,False,False,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,καθεστῶτα,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Masc
νυνὶ,νυνὶ,νυνὶ,νυνὶ,νὶ,ν,-20.0,ADV,d--------,,advmod,0.0,καθεστῶτα,(),False,xxxx̀,False,False,False,False,,,,,,,,
καθεστῶτα,καθεστῶτα,καθεστῶτα,καθεστῶτα,͂τα,κ,-20.0,VERB,V-,Case=Acc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,amod,0.0,τρόπον,(),False,xxxx͂xx,False,False,False,False,,Plur,,Pres,Part,Act,Acc,Neut
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἐβεβρίθει,(),False,.,False,True,False,False,,,,,,,,
