orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Mood,Person,Tense,VerbForm,Voice
εὐθύς,εὐθύς,εὐθύς,εὐθύς,ύς,ε,-20.0,ADV,d--------,,advmod,0.0,ἐδείχθη,(),False,xx̓xx́x,False,False,False,False,,,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,ἐδείχθη,(),True,xx,True,False,False,False,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,χρησιμώτατον,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,
χρησιμώτατον,χρησιμώτατον,χρησιμώτατον,χρησιμώτατον,τον,χ,-20.0,ADJ,a-s---nns,Case=Nom|Degree=Sup|Gender=Neut|Number=Sing,nsubj,0.0,ἐδείχθη,(),False,xxxx́xxxx,False,False,False,False,Nom,Neut,Sing,Sup,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,φύσις,(),False,",",False,True,False,False,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,φύσις,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,
ἀριθμοῦ,ἀριθμοῦ,ἀριθμοῦ,ἀριθμοῦ,οῦ,α,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,φύσις,(),False,x̓xxxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
φύσις,φύσις,φύσις,φύσις,σις,φ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,appos,0.0,χρησιμώτατον,(),False,xx́xxx,False,False,False,False,Nom,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,φύσις,(),False,",",False,True,False,False,,,,,,,,,
ἐδείχθη,ἐδείχθη,ἐδείχθη,ἐδείχθη,χθη,ε,-20.0,VERB,v3saip---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Pass,ROOT,0.0,ἐδείχθη,(),False,x̓xxx́xxx,False,False,False,False,,,Sing,,Ind,3,Past,Fin,Pass
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,παραφήναντος,(),False,",",False,True,False,False,,,,,,,,,
χρόνου,χρόνου,χρόνος,χρόνου,νου,χ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nsubj,0.0,παραφήναντος,(),False,xxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,
παραφήναντος,παραφήναντος,παραφήνω,παραφήναντος,τος,π,-20.0,VERB,v-sapamg-,Case=Gen|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,ἐδείχθη,(),False,xxxx́xxxx,False,False,False,False,Gen,Masc,Sing,,,,Past,Part,Act
