orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree
διαφέρει,διαφέρει,διαφέρω,διαφέρει,ρει,δ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,διαφέρει,(),False,xxxx́xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,διαφέρει,(),False,xx̀x,False,False,False,False,,,,,,,,,
ἔμψυχα,ἔμψυχα,ἔμψυχος,ἔμψυχα,υχα,ε,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,διαφέρει,(),False,x̓́xxxx,False,False,False,False,,Plur,,,,,Nom,Neut,
ἀψύχων,ἀψύχων,ἀψύχων,ἀψύχων,χων,α,-20.0,ADJ,a-p---ng-,Case=Gen|Gender=Neut|Number=Plur,obj,0.0,διαφέρει,(),False,x̓xx́xxx,False,False,False,False,,Plur,,,,,Gen,Neut,
οὐδενὶ,οὐδενὶ,οὐδενὶ,οὐδενὶ,νὶ,ο,-20.0,ADJ,Px,Case=Dat|Gender=Neut|Number=Sing,obl,0.0,μᾶλλον,(),False,xx̓xxxx̀,False,False,False,False,,Sing,,,,,Dat,Neut,
μᾶλλον,μᾶλλον,μᾶλλον,μᾶλλον,λον,μ,-20.0,ADV,d-------c,Degree=Cmp,advmod,0.0,διαφέρει,(),False,xx͂xxxx,False,False,False,False,,,,,,,,,Cmp
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,ADV,d--------,,advmod,0.0,αἰσθήσει,(),False,x̓̀,False,False,False,False,,,,,,,,,
αἰσθήσει,αἰσθήσει,αἰσθήσει,αἰσθήσει,σει,α,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,μᾶλλον,(),False,xx̓xxx́xxx,False,False,False,False,,Sing,,,,,Dat,Fem,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,διαφέρει,(),False,·,False,True,False,False,,,,,,,,,
πενταχῆ,πενταχῆ,πενταχῆ,πενταχῆ,χῆ,π,-20.0,ADV,d--------,,advmod,0.0,τμητὸν,(),False,xxxx͂,False,False,False,False,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,τμητὸν,(),False,xx̀,False,False,False,False,,,,,,,,,
τμητὸν,τμητὸν,τμητὸς,τμητὸν,ὸν,τ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,xcomp,0.0,αἴσθησις,(),False,xxxx̀x,False,False,False,False,,Sing,,,,,Nom,Neut,
αἴσθησις,αἴσθησις,αἴσθησις,αἴσθησις,σις,α,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,αἴσθησις,(),False,xx̓́xxxx,False,False,False,False,,Sing,,,,,Nom,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὅρασιν,(),False,",",False,True,False,False,,,,,,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,ὅρασιν,(),False,xx̓x,False,False,False,False,,,,,,,,,
ὅρασιν,ὅρασιν,ὅρασις,ὅρασιν,σιν,ο,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,αἴσθησις,"(ἀκοήν, γεῦσιν)",False,x̔́xxxx,False,False,False,False,,Sing,,,,,Acc,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀκοήν,(),False,",",False,True,False,False,,,,,,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,ἀκοήν,(),False,xx̓x,False,False,False,False,,,,,,,,,
ἀκοήν,ἀκοήν,ἀκοή,ἀκοήν,ήν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,ὅρασιν,"(ὅρασιν, γεῦσιν)",False,x̓xxx́x,False,False,False,False,,Sing,,,,,Acc,Fem,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,γεῦσιν,(),False,",",False,True,False,False,,,,,,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,γεῦσιν,(),False,xx̓x,False,False,False,False,,,,,,,,,
γεῦσιν,γεῦσιν,γεῦσις,γεῦσιν,σιν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,ὅρασιν,"(ὅρασιν, ἀκοήν)",False,xxx͂xxx,False,False,False,False,,Sing,,,,,Acc,Fem,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,αἴσθησις,(),False,.,False,True,False,False,,,,,,,,,
