orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person
λύρα,λύρα,λύρα,λύρα,́ρα,λ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,λύρα,(),False,xx́xx,False,False,False,False,Nom,Fem,Sing,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,fixed,0.0,λύρα,(),False,xx̀x,False,False,False,False,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,fixed,0.0,λύρα,(),False,xx̀x,False,False,False,False,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,ἀναλογοῦσα,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,
ἑπτάχορδος,ἑπτάχορδος,ἑπτάχορς,ἑπτάχορδος,δος,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἀναλογοῦσα,(),False,x̔xxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,
ἀναλογοῦσα,ἀναλογοῦσα,ἀναλογοῦσα,ἀναλογοῦσα,͂σα,α,-20.0,VERB,v-sppafn-,Case=Nom|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,dep,0.0,γὰρ,"(ἡγεμονὶς,)",False,x̓xxxx͂xx,False,False,False,False,Nom,Fem,Sing,Pres,Part,Act,,
τῇ,τῇ,τῇ,τῇ,ῇ,τ,-20.0,DET,l-s---fd-,Case=Dat|Gender=Fem|Number=Sing,det,0.0,χορείᾳ,(),False,xx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,πλανήτων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,
πλανήτων,πλανήτων,πλανήτων,πλανήτων,των,π,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,χορείᾳ,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,
χορείᾳ,χορείᾳ,χορείᾳ,χορείᾳ,́ᾳ,χ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obj,0.0,ἀναλογοῦσα,(),False,xxxx́xͅ,False,False,False,False,Dat,Fem,Sing,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ἁρμονίας,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,
ἐλλογίμους,ἐλλογίμους,ἐλλογίμους,ἐλλογίμους,ους,ε,-20.0,ADJ,a-p---ma-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,ἁρμονίας,(),False,x̓xxxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,
ἁρμονίας,ἁρμονίας,ἁρμονία,ἁρμονίας,́ας,α,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,ἀποτελεῖ,(),False,x̔xxxx́xx,False,False,False,False,Acc,Fem,Plur,,,,,
ἀποτελεῖ,ἀποτελεῖ,ἀποτελεῖ,ἀποτελεῖ,εῖ,α,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,acl,0.0,χορείᾳ,(),False,x̓xxxx͂,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τι,(),False,",",False,True,False,False,,,,,,,,
σχεδόν,σχεδόν,σχεδόν,σχεδόν,όν,σ,-20.0,ADV,d--------,,advmod,0.0,τι,(),False,xxxx́x,False,False,False,False,,,,,,,,
