orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender
διατείνει,διατείνει,διατείνω,διατείνει,νει,δ,-20.0,VERB,V-,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,διατείνει,(),False,xxxx́xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,discourse,0.0,διατείνει,(),False,xx̀,False,False,False,False,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,διατείνει,(),False,’,False,True,False,False,,,,,,,,
αὐτῆς,αὐτῆς,αὐτῆς,αὐτῆς,ῆς,α,-20.0,PRON,p-s---fg-,Case=Gen|Gender=Fem|Number=Sing,dep,0.0,διατείνει,(),False,xx̓xx͂x,False,False,False,False,,Sing,,,,,Gen,Fem
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,φύσις,(),False,x̔,False,False,False,False,,Sing,,,,,Nom,Fem
φύσις,φύσις,φύσις,φύσις,σις,φ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,διατείνει,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Nom,Fem
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,οὐσίαν,(),False,xxx̀,False,False,False,False,,,,,,,,
ἐπὶ,ἐπὶ,ἐπὶ,ἐπὶ,πὶ,ε,-20.0,ADP,r--------,,case,0.0,οὐσίαν,(),False,x̓xx̀,False,False,False,False,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,οὐσίαν,(),False,xx̀x,False,False,False,False,,Sing,,,,,Acc,Fem
ὁρατὴν,ὁρατὴν,ὁρατὴν,ὁρατὴν,ὴν,ο,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,amod,0.0,οὐσίαν,(),False,x̔xxxx̀x,False,False,False,False,,Sing,,,,,Acc,Fem
ἅπασαν,ἅπασαν,ἅπας,ἅπασαν,σαν,α,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,οὐσίαν,(),False,x̔́xxxx,False,False,False,False,,Sing,,,,,Acc,Fem
οὐσίαν,οὐσίαν,οὐσία,οὐσίαν,́αν,ο,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,διατείνει,(),False,xx̓xx́xx,False,False,False,False,,Sing,,,,,Acc,Fem
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,οὐρανὸν,(),False,",",False,True,False,False,,,,,,,,
οὐρανὸν,οὐρανὸν,οὐρανὸν,οὐρανὸν,ὸν,ο,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,appos,0.0,οὐσίαν,"(γῆν,)",False,xx̓xxxx̀x,False,False,False,False,,Sing,,,,,Acc,Masc
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,οὐρανὸν,(),False,xxx̀,False,False,False,False,,,,,,,,
γῆν,γῆν,γῆ,γῆν,ῆν,γ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,οὐρανὸν,"(οὐρανὸν,)",False,xx͂x,False,False,False,False,,Sing,,,,,Acc,Fem
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,πέρατα,(),False,",",False,True,False,False,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,πέρατα,(),False,xx̀,False,False,False,False,,Plur,,,,,Acc,Neut
πέρατα,πέρατα,πέρα,πέρατα,ατα,π,-20.0,NOUN,Nb,Case=Acc|Gender=Neut|Number=Plur,appos,0.0,οὐσίαν,(),False,xx́xxxx,False,False,False,False,,Plur,,,,,Acc,Neut
τοὐ,τοὐ,τοὐ,τοὐ,οὐ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,παντός,(),False,xxx̓,False,False,False,False,,Sing,,,,,Gen,Neut
παντός,παντός,παντός,παντός,ός,π,-20.0,ADJ,a-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,πέρατα,(),False,xxxx́x,False,False,False,False,,Sing,,,,,Gen,Neut
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,φθάσασα,(),False,",",False,True,False,False,,,,,,,,
φθάσασα,φθάσασα,φθάω,φθάσασα,ασα,φ,-20.0,VERB,v-sapafn-,Case=Nom|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,advcl,0.0,οὐσίαν,(),False,xxx́xxxx,False,False,False,False,,Sing,,Past,Part,Act,Nom,Fem
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,διατείνει,(),False,.,False,True,False,False,,,,,,,,
