orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person
ἅμα,ἅμα,ἅμα,ἅμα,́μα,α,-20.0,ADP,r--------,,case,0.0,γενέσει,(),False,x̔́xx,False,False,False,False,,,,,,,,
τῇ,τῇ,τῇ,τῇ,ῇ,τ,-20.0,DET,l-s---fd-,Case=Dat|Gender=Fem|Number=Sing,det,0.0,γενέσει,(),False,xx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,
πρώτῃ,πρώτῃ,πρώτῃ,πρώτῃ,τῃ,π,-20.0,ADJ,a-s---fd-,Case=Dat|Gender=Fem|Number=Sing,nmod,0.0,γενέσει,(),False,xxx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,
γενέσει,γενέσει,γενέσις,γενέσει,σει,γ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,εὗρε,(),False,xxxx́xxx,False,False,False,False,Dat,Fem,Sing,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,παρασκευὰς,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,ζῆν,(),False,xx̓x,False,False,False,False,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,ζῆν,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,
ζῆν,ζῆν,ζῆν,ζῆν,ῆν,ζ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,nmod,0.0,παρασκευὰς,(),False,xx͂x,False,False,False,False,,,,Pres,Inf,Act,,
παρασκευὰς,παρασκευὰς,παρασκευὰς,παρασκευὰς,ὰς,π,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,εὗρε,(),False,xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,
ἁπάσας,ἁπάσας,ἁπάσας,ἁπάσας,σας,α,-20.0,ADJ,a-p---fa-,Case=Acc|Gender=Fem|Number=Plur,nmod,0.0,παρασκευὰς,(),False,x̔xx́xxx,False,False,False,False,Acc,Fem,Plur,,,,,
εὗρε,εὗρε,εὗρε,εὗρε,͂ρε,ε,-20.0,VERB,v3saia---,Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,εὗρε,(),False,xx̔͂xx,False,False,False,False,,,Sing,Past,Fin,Act,Ind,3
