orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Degree,Mood,Person,Tense,VerbForm,Voice
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,δεύτερον,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἔχει,(),False,xx̀x,False,False,False,False,,,,,,,,,
δὴ,δὴ,δὴ,δὴ,δὴ,δ,-20.0,ADV,d--------,,advmod,0.0,ἔχει,(),False,xx̀,False,False,False,False,,,,,,,,,
δεύτερον,δεύτερον,δεύτερος,δεύτερον,ρον,δ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,ἔχει,(),False,xxx́xxxx,False,False,False,False,Nom,Neut,Sing,,,,,,
ἐμφανεστάτην,ἐμφανεστάτην,ἐμφανεστάτην,ἐμφανεστάτην,την,ε,-20.0,ADJ,a-s---fas,Case=Acc|Degree=Sup|Gender=Fem|Number=Sing,nmod,0.0,προνομίαν,(),False,x̓xxxx́xxx,False,False,False,False,Acc,Fem,Sing,Sup,,,,,
ἔχει,ἔχει,ἔχω,ἔχει,χει,ε,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ἔχει,(),False,x̓́xxx,False,False,False,False,,,Sing,,Ind,3,Pres,Fin,Act
προνομίαν,προνομίαν,προνομία,προνομίαν,́αν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἔχει,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἔχει,(),False,·,False,True,False,False,,,,,,,,,
αἰεὶ,αἰεὶ,αἰεὶ,αἰεὶ,εὶ,α,-20.0,ADV,d--------,,advmod,0.0,κύβος,(),False,xx̓xx̀,False,False,False,False,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,κύβος,(),False,xx̀x,False,False,False,False,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,συντιθέμενος,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,
ἀπὸ,ἀπὸ,ἀπὸ,ἀπὸ,πὸ,α,-20.0,ADP,r--------,,case,0.0,μονάδος,(),False,x̓xx̀,False,False,False,False,,,,,,,,,
μονάδος,μονάδος,μονάς,μονάδος,δος,μ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,συντιθέμενος,(),False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,
συντιθέμενος,συντιθέμενος,συντιθέμενος,συντιθέμενος,νος,σ,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,nsubj,0.0,κύβος,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,Pres,Part,Mid
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,διπλασίοις,(),False,x̓x,False,False,False,False,,,,,,,,,
διπλασίοις,διπλασίοις,διπλασίος,διπλασίοις,οις,δ,-20.0,ADJ,a-p---md-,Case=Dat|Gender=Masc|Number=Plur,obl,0.0,συντιθέμενος,"(τριπλασίοις, ἀναλογοῦσιν)",False,xxxx́xxx,False,False,False,False,Dat,Masc,Plur,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,διπλασίοις,(),False,x̓̀,False,False,False,False,,,,,,,,,
τριπλασίοις,τριπλασίοις,τριπλασίος,τριπλασίοις,οις,τ,-20.0,ADJ,a-p---md-,Case=Dat|Gender=Masc|Number=Plur,conj,0.0,διπλασίοις,"(διπλασίοις, ἀναλογοῦσιν)",False,xxxx́xxx,False,False,False,False,Dat,Masc,Plur,,,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,διπλασίοις,(),False,x̓̀,False,False,False,False,,,,,,,,,
συνόλως,συνόλως,συνόλως,συνόλως,λως,σ,-20.0,ADV,d--------,,advmod,0.0,ἀναλογοῦσιν,(),False,xxxx́xxx,False,False,False,False,,,,,,,,,
ἀναλογοῦσιν,ἀναλογοῦσιν,ἀναλογοῦσιν,ἀναλογοῦσιν,σιν,α,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,conj,0.0,διπλασίοις,"(διπλασίοις, τριπλασίοις)",False,x̓xxxx͂xxx,False,False,False,False,,,Plur,,Ind,3,Pres,Fin,Act
ἕβδομος,ἕβδομος,ἕβδομος,ἕβδομος,μος,ε,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nmod,0.0,ἀριθμὸς,(),False,x̔́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,
ἀριθμὸς,ἀριθμὸς,ἀριθμὸς,ἀριθμὸς,ὸς,α,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,κύβος,(),False,x̓xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,
κύβος,κύβος,κύβος,κύβος,βος,κ,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,κύβος,"(τετράγωνός,)",False,xx́xxx,False,False,False,False,Nom,Masc,Sing,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,κύβος,(),True,xx,True,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,κύβος,(),False,xxx̀,False,False,False,False,,,,,,,,,
τετράγωνός,τετράγωνός,τετράγωνός,τετράγωνός,ός,τ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,κύβος,"(κύβος,)",False,xxxx́xxxx́x,False,False,False,False,Nom,Masc,Sing,,,,,,
