orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person
ἀλλὰ,ἀλλὰ,ἀλλὰ,ἀλλὰ,λὰ,α,-20.0,CCONJ,d--------,,advmod,0.0,συμβέβηκε,(),False,x̓xxx̀,False,False,False,False,,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,συμβέβηκε,(),False,xx̀x,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,ἑπτὰ,(),False,xxx̀,False,False,False,False,,,,,,,,,
κινήσεις,κινήσεις,κινήσεις,κινήσεις,εις,κ,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,nsubj,0.0,ἑπτὰ,(),False,xxxx́xxxx,False,False,False,False,Nom,Fem,Plur,,,,,,
ἑπτὰ,ἑπτὰ,ἑπτὰ,ἑπτὰ,τὰ,ε,-20.0,NUM,m--------,,csubj,0.0,συμβέβηκε,(),False,x̔xxx̀,False,False,False,False,,,,,,,,,
εἶναι,εἶναι,εἶναι,εἶναι,ναι,ε,-20.0,AUX,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,cop,0.0,συμβέβηκε,(),False,xx̓͂xxx,False,False,False,False,,,,Pres,Inf,Act,,,
συμβέβηκε,συμβέβηκε,συμβέβηκε,συμβέβηκε,ηκε,σ,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,συμβέβηκε,(),False,xxxx́xxxx,False,False,False,False,,,Sing,Past,Fin,Act,Perf,Ind,3
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἄνω,(),False,",",False,True,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἄνω,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἄνω,ἄνω,ἄνω,ἄνω,́νω,α,-20.0,ADV,d--------,,amod,0.0,συμβέβηκε,"(πρόσω,)",False,x̓́xx,False,False,False,False,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,κάτω,(),False,",",False,True,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,κάτω,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
κάτω,κάτω,κάτω,κάτω,́τω,κ,-20.0,ADV,Df,,appos,0.0,ἄνω,(),False,xx́xx,False,False,False,False,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,δεξιά,(),False,",",False,True,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,δεξιά,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἐπὶ,ἐπὶ,ἐπὶ,ἐπὶ,πὶ,ε,-20.0,ADP,r--------,,case,0.0,δεξιά,(),False,x̓xx̀,False,False,False,False,,,,,,,,,
δεξιά,δεξιά,δεξιά,δεξιά,ιά,δ,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,appos,0.0,ἄνω,(),False,xxxx́,False,False,False,False,Acc,Neut,Plur,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἐπὶ᾽,(),False,",",False,True,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἐπὶ᾽,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἐπὶ᾽,ἐπὶ᾽,ἐπὶ᾽,ἐπὶ᾽,ὶ᾽,ε,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,advmod,0.0,ἄνω,(),False,x̓xx̀᾽,False,False,False,False,Acc,Neut,Plur,,,,,,
εὐώνυμα,εὐώνυμα,εὐώνυμος,εὐώνυμα,υμα,ε,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,advmod,0.0,ἄνω,(),False,xx̓x́xxxx,False,False,False,False,Acc,Neut,Plur,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,πρόσω,(),False,",",False,True,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,πρόσω,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
πρόσω,πρόσω,πρόσω,πρόσω,́σω,π,-20.0,ADV,d--------,,conj,0.0,ἄνω,"(ἄνω,)",False,xxx́xx,False,False,False,False,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,κατόπιν,(),False,",",False,True,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,κατόπιν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
κατόπιν,κατόπιν,κατόπιν,κατόπιν,πιν,κ,-20.0,ADV,d--------,,advmod,0.0,ἄνω,(),False,xxxx́xxx,False,False,False,False,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,κύκλῳ,(),False,",",False,True,False,False,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,κύκλῳ,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,κύκλῳ,(),False,x̓x,False,False,False,False,,,,,,,,,
κύκλῳ,κύκλῳ,κύκλῳ,κύκλῳ,λῳ,κ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,ἄνω,(),False,xx́xxxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τρανοῦσιν,(),False,",",False,True,False,False,,,,,,,,,
ἃς,ἃς,ἃς,ἃς,̔̀ς,α,-20.0,PRON,p-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,τρανοῦσιν,(),False,x̔̀x,False,False,False,False,Acc,Fem,Plur,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,τρανοῦσιν,(),False,x̓x,False,False,False,False,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---nd-,Case=Dat|Gender=Neut|Number=Plur,det,0.0,τρανοῦσιν,(),False,xxx͂x,False,False,False,False,Dat,Neut,Plur,,,,,,
μάλιστα,μάλιστα,μάλιστα,μάλιστα,στα,μ,-20.0,ADV,d--------,,advmod,0.0,τρανοῦσιν,(),False,xx́xxxx,False,False,False,False,,,,,,,,,
τρανοῦσιν,τρανοῦσιν,τρανοῦσιν,τρανοῦσιν,σιν,τ,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,appos,0.0,ἄνω,(),False,xxxx͂xxx,False,False,False,False,,,Plur,Pres,Fin,Act,,Ind,3
οἱ,οἱ,οἱ,οἱ,οἱ,ο,-20.0,DET,l-p---mn-,Case=Nom|Gender=Masc|Number=Plur,det,0.0,ἐπιδεικνύμενοι,(),False,xx̔,False,False,False,False,Nom,Masc,Plur,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ὄρχησιν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,
ὄρχησιν,ὄρχησιν,ὄρχησις,ὄρχησιν,σιν,ο,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἐπιδεικνύμενοι,(),False,x̓́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,
ἐπιδεικνύμενοι,ἐπιδεικνύμενοι,ἐπιδεικνύμενοι,ἐπιδεικνύμενοι,νοι,ε,-20.0,VERB,v-pppemn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Mid,nmod,0.0,τρανοῦσιν,(),False,x̓xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,Pres,Part,Mid,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,συμβέβηκε,(),False,.,False,True,False,False,,,,,,,,,
