orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree
σπεύδει,σπεύδει,σπεύδω,σπεύδει,δει,σ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,σπεύδει,(),False,xxxx́xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,σπεύδει,(),True,xx,True,False,False,False,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,φασί,(),False,",",False,True,False,False,,,,,,,,,
φασί,φασί,φασί,φασί,σί,φ,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,parataxis,0.0,σπεύδει,(),False,xxxx́,False,False,False,False,Ind,Plur,3,Pres,Fin,Act,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ζῷον,(),False,",",False,True,False,False,,,,,,,,,
πᾶν,πᾶν,πᾶς,πᾶν,ᾶν,π,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nmod,0.0,ζῷον,(),False,xx͂x,False,False,False,False,,Sing,,,,,Nom,Neut,
ζῷον,ζῷον,ζῷον,ζῷον,ͅον,ζ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,σπεύδει,(),False,xx͂ͅxx,False,False,False,False,,Sing,,,,,Nom,Neut,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,advmod,0.0,ἐπὶ᾽,(),False,x̔x,False,False,False,False,,,,,,,,,
ἐπὶ᾽,ἐπὶ᾽,ἐπὶ᾽,ἐπὶ᾽,ὶ᾽,ε,-20.0,PUNCT,V-,,advcl,0.0,σπεύδει,(),False,x̓xx̀᾽,False,False,False,False,,,,,,,,,
ἀναγκαιότατον,ἀναγκαιότατον,ἀναγκαιός,ἀναγκαιότατον,τον,α,-20.0,ADJ,a-s---nas,Case=Nom|Degree=Sup|Gender=Neut|Number=Sing,obj,0.0,καὶ,"(συνεκτικώτατον,)",False,x̓xxxx́xxxx,False,False,False,False,,Sing,,,,,Nom,Neut,Sup
