orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,πατὴρ,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,
δὴ,δὴ,δὴ,δὴ,δὴ,δ,-20.0,ADV,d--------,,advmod,0.0,ἀνεδίδου,(),False,xx̀,False,False,False,False,,,,,,,,,
σύμπαντος,σύμπαντος,σύμπας,σύμπαντος,τος,σ,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,χρόνου,(),False,xx́xxxx,False,False,False,False,Gen,Masc,Sing,,,,,,
χρόνου,χρόνου,χρόνος,χρόνου,νου,χ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nsubj,0.0,διανεμηθέντος,(),False,xxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,
διανεμηθέντος,διανεμηθέντος,διανεμηθέντος,διανεμηθέντος,τος,δ,-20.0,VERB,v-sappmg-,Case=Gen|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,advcl,0.0,ἀνεδίδου,(),False,xxxx́xxxx,False,False,False,False,Gen,Masc,Sing,Past,Part,Pass,,,
εἰς,εἰς,εἰς,εἰς,ἰς,ε,-20.0,ADP,r--------,,case,0.0,τμήματα,(),False,xx̓x,False,False,False,False,,,,,,,,,
δύο,δύο,δύο,δύο,ύο,δ,-20.0,ADJ,a--------,,nmod,0.0,τμήματα,(),False,xx́x,False,False,False,False,,,,,,,,,
τμήματα,τμήματα,τμήματα,τμήματα,ατα,τ,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obl,0.0,διανεμηθέντος,(),False,xxx́xxxx,False,False,False,False,Acc,Neut,Plur,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἡμέραν,(),False,",",False,True,False,False,,,,,,,,,
ἡμέραν,ἡμέραν,ἡμέρα,ἡμέραν,ραν,η,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,appos,0.0,τμήματα,"(νύκτα,)",False,x̔xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,ἡμέραν,(),True,xx,True,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἡμέραν,(),False,xxx̀,False,False,False,False,,,,,,,,,
νύκτα,νύκτα,νύξ,νύκτα,κτα,ν,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,ἡμέραν,"(ἡμέραν,)",False,xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,διανεμηθέντος,(),False,",",False,True,False,False,,,,,,,,,
τῆς,τῆς,τῆς,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,σύμπαντος,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἀνεδίδου,(),False,xx̀x,False,False,False,False,,,,,,,,,
ἡμέρας,ἡμέρας,ἡμέρα,ἡμέρας,ρας,η,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,xcomp,0.0,ἀνεδίδου,(),False,x̔xx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---na-,Case=Acc|Gender=Neut|Number=Sing,det,0.0,κράτος,(),False,xx̀,False,False,False,False,Acc,Neut,Sing,,,,,,
κράτος,κράτος,κράτος,κράτος,τος,κ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ἀνεδίδου,(),False,xxx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,πατὴρ,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,
πατὴρ,πατὴρ,πατὴρ,πατὴρ,ὴρ,π,-20.0,NOUN,n-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἀνεδίδου,(),False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,
ἀνεδίδου,ἀνεδίδου,ἀνεδίδωμι,ἀνεδίδου,δου,α,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,ἀνεδίδου,(),False,x̓xxxx́xxx,False,False,False,False,,,Sing,Past,Fin,Act,Imp,Ind,3
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,ἡλίῳ,(),False,xx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,
