orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person
ἤδη,ἤδη,ἤδη,ἤδη,́δη,η,-20.0,ADV,d--------,,advmod,0.0,ἐκάλει,(),False,x̓́xx,False,False,False,False,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,mark,0.0,γένη,(),False,xx̀,False,False,False,False,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,R-,,case,0.0,ὕδατος,(),False,’,False,True,False,False,,,,,,,,,
ὕδατος,ὕδατος,ὕδωρ,ὕδατος,τος,υ,-20.0,NOUN,Nb,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,γένη,"(ἀέρος,)",False,x̔́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ὕδατος,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἀέρος,ἀέρος,ἀέρς,ἀέρος,ρος,α,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,ὕδατος,"(ὕδατος,)",False,x̓x́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---na-,Case=Acc|Gender=Neut|Number=Plur,det,0.0,ζῴων,(),False,xx̀,False,False,False,False,Acc,Neut,Plur,,,,,,
προσήκοντα,προσήκοντα,προσήκω,προσήκοντα,ντα,π,-20.0,VERB,v-pppana-,Case=Acc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,nmod,0.0,ζῴων,(),False,xxxx́xxxx,False,False,False,False,Acc,Neut,Plur,Pres,Part,Act,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,ζῴων,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,
ζῴων,ζῴων,ζῴον,ζῴων,ͅων,ζ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,ὕδατος,(),False,xx́ͅxx,False,False,False,False,Gen,Neut,Plur,,,,,,
γένη,γένη,γένος,γένη,́νη,γ,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obl,0.0,ἐκάλει,(),False,xx́xx,False,False,False,False,Acc,Neut,Plur,,,,,,
καθάπερ,καθάπερ,καθάπερ,καθάπερ,περ,κ,-20.0,SCONJ,d--------,,mark,0.0,ἀπειληφότων,(),False,xxxx́xxx,False,False,False,False,,,,,,,,,
τινὰ,τινὰ,τινὰ,τινὰ,νὰ,τ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,κλῆρον,(),False,xxxx̀,False,False,False,False,Acc,Masc,Sing,,,,,,
κλῆρον,κλῆρον,κλῆρος,κλῆρον,ρον,κ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἀπειληφότων,(),False,xxx͂xxx,False,False,False,False,Acc,Masc,Sing,,,,,,
