orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender,Degree
ἔστι,ἔστι,ἔστι,ἔστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,τελεσφόρος,(),False,x̓́xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,τελεσφόρος,(),False,xx̀,False,False,False,False,,,,,,,,,
οὐ,οὐ,οὐ,οὐ,οὐ,ο,-20.0,ADV,d--------,,advmod,0.0,τελεσφόρος,(),False,xx̓,False,False,False,False,,,,,,,,,
τελεσφόρος,τελεσφόρος,τελεσφόρος,τελεσφόρος,ρος,τ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,τελεσφόρος,"(εἰπεῖν, πηγή, ἁρμονίας, περιέχει, πάσας, ἀναλογίας, ἀριθμητικήν)",False,xxxx́xxx,False,False,False,False,,Sing,,,,,Nom,Masc,
μόνον,μόνον,μόνος,μόνον,νον,μ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,advmod,0.0,τελεσφόρος,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Acc,Neut,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀλλὰ,(),False,",",False,True,False,False,,,,,,,,,
ἀλλὰ,ἀλλὰ,ἀλλὰ,ἀλλὰ,λὰ,α,-20.0,CCONJ,c--------,,cc,0.0,τελεσφόρος,(),False,x̓xxx̀,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,εἰπεῖν,(),False,xxx̀,False,False,False,False,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,ADV,d--------,,mark,0.0,εἰπεῖν,(),False,x̔x,False,False,False,False,,,,,,,,,
ἔπος,ἔπος,ἔπος,ἔπος,πος,ε,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,ὡς,(),False,x̓́xxx,False,False,False,False,,Sing,,,,,Acc,Neut,
εἰπεῖν,εἰπεῖν,εἰπεῖν,εἰπεῖν,ῖν,ε,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,conj,0.0,τελεσφόρος,"(τελεσφόρος, πηγή, ἁρμονίας, περιέχει, πάσας, ἀναλογίας, ἀριθμητικήν)",False,xx̓xxx͂x,False,False,False,False,,,,Past,Inf,Act,,,
ἁρμονικωτάτη,ἁρμονικωτάτη,ἁρμονικωτάτη,ἁρμονικωτάτη,́τη,α,-20.0,ADJ,a-s---fns,Case=Nom|Degree=Sup|Gender=Fem|Number=Sing,advmod,0.0,τελεσφόρος,"(τρόπον,)",False,x̔xxxx́xx,False,False,False,False,,Sing,,,,,Nom,Fem,Sup
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἁρμονικωτάτη,(),False,xxx̀,False,False,False,False,,,,,,,,,
τρόπον,τρόπον,τρόπος,τρόπον,πον,τ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,ἁρμονικωτάτη,"(ἁρμονικωτάτη,)",False,xxx́xxx,False,False,False,False,,Sing,,,,,Acc,Masc,
τινὰ,τινὰ,τινὰ,τινὰ,νὰ,τ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Masc|Number=Sing,nmod,0.0,τρόπον,(),False,xxxx̀,False,False,False,False,,Sing,,,,,Acc,Masc,
πηγή,πηγή,πηγή,πηγή,γή,π,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,τελεσφόρος,"(τελεσφόρος, εἰπεῖν, ἁρμονίας, περιέχει, πάσας, ἀναλογίας, ἀριθμητικήν)",False,xxxx́,False,False,False,False,,Sing,,,,,Nom,Fem,
