orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person
οἱ,οἱ,οἱ,οἱ,οἱ,ο,-20.0,DET,l-p---mn-,Case=Nom|Gender=Masc|Number=Plur,det,0.0,καρυατίζοντες,(),False,xx̔,False,False,False,False,Nom,Masc,Plur,,,,,,
καρυατίζοντες,καρυατίζοντες,καρυατίζω,καρυατίζοντες,τες,κ,-20.0,VERB,v-pppamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,nsubj,0.0,εἰώθασι,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,Pres,Part,Act,,,
εἰώθασι,εἰώθασι,εἰώθασι,εἰώθασι,ασι,ε,-20.0,VERB,v3pria---,Aspect=Perf|Mood=Ind|Number=Plur|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,εἰώθασι,(),False,xx̓x́xxxx,False,False,False,False,,,Plur,Past,Fin,Act,Perf,Ind,3
τρία,τρία,τρίες,τρία,ία,τ,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,dep,0.0,εἰώθασι,(),False,xxx́x,False,False,False,False,Acc,Neut,Plur,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἐπιπέδῳ,(),False,x̓x,False,False,False,False,,,,,,,,,
ἐπιπέδῳ,ἐπιπέδῳ,ἐπιπέδῳ,ἐπιπέδῳ,δῳ,ε,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obl,0.0,τρία,(),False,x̓xxxx́xxͅ,False,False,False,False,Dat,Neut,Sing,,,,,,
κάρυα,κάρυα,κάρυον,κάρυα,ρυα,κ,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,προτιθέντες,(),False,xx́xxx,False,False,False,False,Acc,Neut,Plur,,,,,,
προτιθέντες,προτιθέντες,προτιθέντες,προτιθέντες,τες,π,-20.0,VERB,v-pppamn-,Case=Nom|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἐπιφέρειν,(),False,xxxx́xxxx,False,False,False,False,Nom,Masc,Plur,Pres,Part,Act,,,
ἐπιφέρειν,ἐπιφέρειν,ἐπιφέρω,ἐπιφέρειν,ειν,ε,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,xcomp,0.0,εἰώθασι,(),False,x̓xxxx́xxxx,False,False,False,False,,,,Pres,Inf,Act,,,
ἕν,ἕν,ἕνς,ἕν,̔́ν,ε,-20.0,NUM,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ἐπιφέρειν,(),False,x̔́x,False,False,False,False,Acc,Neut,Sing,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀπογεννῶντες,(),False,",",False,True,False,False,,,,,,,,,
σχῆμα,σχῆμα,σχῆμα,σχῆμα,͂μα,σ,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,obj,0.0,ἀπογεννῶντες,(),False,xxx͂xx,False,False,False,False,Acc,Neut,Sing,,,,,,
