orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person
οἷς,οἷς,οἷς,οἷς,̔͂ς,ο,-20.0,PRON,p-p---nd-,Case=Dat|Gender=Neut|Number=Plur,obj,0.0,διέτριβε,(),False,xx̔͂x,False,False,False,False,Dat,Neut,Plur,,,,,,
προσομιλῶν,προσομιλῶν,προσομιλῶν,προσομιλῶν,ῶν,π,-20.0,VERB,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,διέτριβε,"(συνδιαιτώμενος,)",False,xxxx͂x,False,False,False,False,Nom,Masc,Sing,Pres,Part,Act,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,προσομιλῶν,(),False,xxx̀,False,False,False,False,,,,,,,,,
συνδιαιτώμενος,συνδιαιτώμενος,συνδιαιτώμενος,συνδιαιτώμενος,νος,σ,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,conj,0.0,προσομιλῶν,"(προσομιλῶν,)",False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,Pres,Part,Mid,,,
εἰκότως,εἰκότως,εἰκότως,εἰκότως,τως,ε,-20.0,ADV,d--------,,advmod,0.0,διέτριβε,(),False,xx̓xx́xxx,False,False,False,False,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,εὐδαιμονίᾳ,(),False,x̓x,False,False,False,False,,,,,,,,,
ἀκράτῳ,ἀκράτῳ,ἀκράτῳ,ἀκράτῳ,τῳ,α,-20.0,ADJ,a-s---fd-,Case=Dat|Gender=Fem|Number=Sing,nmod,0.0,εὐδαιμονίᾳ,(),False,x̓xxx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,
διέτριβε,διέτριβε,διέτριβε,διέτριβε,ιβε,δ,-20.0,VERB,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,ROOT,0.0,διέτριβε,(),False,xxx́xxxx,False,False,False,False,,,Sing,Past,Fin,Act,Imp,Ind,3
εὐδαιμονίᾳ,εὐδαιμονίᾳ,εὐδαιμονίᾳ,εὐδαιμονίᾳ,́ᾳ,ε,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,διέτριβε,(),False,xx̓xxxx́xͅ,False,False,False,False,Dat,Fem,Sing,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,διέτριβε,(),False,·,False,True,False,False,,,,,,,,,
συγγενής,συγγενής,συγγενής,συγγενής,ής,σ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,advcl,0.0,ἐσπούδαζεν,"(ἀγχίσπορος,)",False,xxxx́x,False,False,False,False,Nom,Masc,Sing,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,συγγενής,(),True,xx,True,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,συγγενής,(),False,xxx̀,False,False,False,False,,,,,,,,,
ἀγχίσπορος,ἀγχίσπορος,ἀγχίσπορος,ἀγχίσπορος,ρος,α,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,συγγενής,"(συγγενής,)",False,x̓xxx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,
