orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person
αἱ,αἱ,αἱ,αἱ,αἱ,α,-20.0,DET,l-p---fn-,Case=Nom|Gender=Fem|Number=Plur,det,0.0,ὧραι,(),False,xx̔,False,False,False,False,Nom,Fem,Plur,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,cc,0.0,κατορθοῦσι,(),False,xx̀,False,False,False,False,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,κατορθοῦσι,(),False,’,False,True,False,False,,,,,,,,
ὧραι,ὧραι,ὧρα,ὧραι,ραι,ω,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,nsubj,0.0,κατορθοῦσι,(),False,x̔͂xxx,False,False,False,False,Nom,Fem,Plur,,,,,
πάντα,πάντα,πάντα,πάντα,ντα,π,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,τελεσφοροῦσαι,(),False,xx́xxx,False,False,False,False,Acc,Neut,Plur,,,,,
τελεσφοροῦσαι,τελεσφοροῦσαι,τελεσφοροῦσαι,τελεσφοροῦσαι,σαι,τ,-20.0,VERB,v-pppafn-,Case=Nom|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,κατορθοῦσι,(),False,xxxx͂xxx,False,False,False,False,Nom,Fem,Plur,Pres,Part,Act,,
ὀροῦσαι,ὀροῦσαι,ὀροῦσαι,ὀροῦσαι,σαι,ο,-20.0,VERB,v-pppafn-,Case=Nom|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,xcomp,0.0,κατορθοῦσι,(),False,x̓xxx͂xxx,False,False,False,False,Nom,Fem,Plur,Pres,Part,Act,,
κατορθοῦσι,κατορθοῦσι,κατορθοῦσι,κατορθοῦσι,͂σι,κ,-20.0,VERB,v3ppia---,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,κατορθοῦσι,(),False,xxxx͂xx,False,False,False,False,,,Plur,Pres,Fin,Act,Ind,3
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,σπορὰς,(),False,",",False,True,False,False,,,,,,,,
σπορὰς,σπορὰς,σπορὰς,σπορὰς,ὰς,σ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,appos,0.0,πάντα,"(φυτείας, ζῴων, γενέσεις, αὐξήσεις)",False,xxxx̀x,False,False,False,False,Acc,Fem,Plur,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,σπορὰς,(),False,xxx̀,False,False,False,False,,,,,,,,
φυτείας,φυτείας,φυτεία,φυτείας,́ας,φ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,σπορὰς,"(σπορὰς, ζῴων, γενέσεις, αὐξήσεις)",False,xxxx́xx,False,False,False,False,Acc,Fem,Plur,,,,,
καρπῶν,καρπῶν,καρπῶν,καρπῶν,ῶν,κ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,σπορὰς,(),False,xxxx͂x,False,False,False,False,Gen,Masc,Plur,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,σπορὰς,(),False,xxx̀,False,False,False,False,,,,,,,,
ζῴων,ζῴων,ζῴον,ζῴων,ͅων,ζ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,conj,0.0,σπορὰς,"(σπορὰς, φυτείας, γενέσεις, αὐξήσεις)",False,xx́ͅxx,False,False,False,False,Gen,Neut,Plur,,,,,
γενέσεις,γενέσεις,γενέσις,γενέσεις,εις,γ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,σπορὰς,"(σπορὰς, φυτείας, ζῴων, αὐξήσεις)",False,xxxx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,g--------,,advmod,0.0,σπορὰς,(),True,xx,True,False,False,False,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,σπορὰς,(),False,xxx̀,False,False,False,False,,,,,,,,
αὐξήσεις,αὐξήσεις,αὐξήσις,αὐξήσεις,εις,α,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,conj,0.0,σπορὰς,"(σπορὰς, φυτείας, ζῴων, γενέσεις)",False,xx̓xx́xxxx,False,False,False,False,Acc,Fem,Plur,,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,κατορθοῦσι,(),False,.,False,True,False,False,,,,,,,,
