orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Mood,Number,Person,Tense,VerbForm,Voice,Case,Gender
ὑπερέχῃ,ὑπερέχῃ,ὑπερέχῃ,ὑπερέχῃ,χῃ,υ,-20.0,VERB,v3spsa---,Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ὑπερέχῃ,(),False,x̔xxxx́xxͅ,False,False,False,False,Sub,Sing,3,Pres,Fin,Act,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,γὰρ,(),False,xxx̀,False,False,False,False,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,ὄγδοος,(),False,x̔,False,False,False,False,,Sing,,,,,Nom,Masc
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,ὑπερέχει,(),False,xx̀x,False,False,False,False,,,,,,,,
ὄγδοος,ὄγδοος,ὄγδοος,ὄγδοος,οος,ο,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ὑπερέχει,(),False,x̓́xxxx,False,False,False,False,,Sing,,,,,Nom,Masc
μέσος,μέσος,μέσος,μέσος,σος,μ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,advcl,0.0,ὑπερέχει,(),False,xx́xxx,False,False,False,False,,Sing,,,,,Nom,Masc
ὢν,ὢν,ὢν,ὢν,̓̀ν,ω,-20.0,AUX,v-sppamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,cop,0.0,μέσος,(),False,x̓̀x,False,False,False,False,,Sing,,Pres,Part,Act,Nom,Masc
ὑπερέχει,ὑπερέχει,ὑπερέχω,ὑπερέχει,χει,υ,-20.0,VERB,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,ROOT,0.0,ὑπερέχει,(),False,x̔xxxx́xxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ὑπερέχει,(),False,xx̀x,False,False,False,False,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,πρώτου,(),False,xxx͂,False,False,False,False,,Sing,,,,,Gen,Masc
πρώτου,πρώτου,πρώτου,πρώτου,του,π,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,dep,0.0,ὑπερέχει,(),False,xxx́xxx,False,False,False,False,,Sing,,,,,Gen,Masc
τρίτῳ,τρίτῳ,τρίτῳ,τρίτῳ,τῳ,τ,-20.0,ADJ,a-s---md-,Case=Dat|Gender=Masc|Number=Sing,nmod,0.0,μορίῳ,(),False,xxx́xxͅ,False,False,False,False,,Sing,,,,,Dat,Masc
μορίῳ,μορίῳ,μορίῳ,μορίῳ,́ῳ,μ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,obl,0.0,ὑπερέχει,(),False,xxxx́xͅ,False,False,False,False,,Sing,,,,,Dat,Masc
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ὑπερέχει,(),False,·,False,True,False,False,,,,,,,,
ὑφαιρεθέντων,ὑφαιρεθέντων,ὑφαιρεθέντων,ὑφαιρεθέντων,των,υ,-20.0,VERB,v-pappmg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,advcl,0.0,τρίτον,(),False,x̔xxxx́xxxx,False,False,False,False,,Plur,,Past,Part,Pass,Gen,Masc
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,τρίτον,(),False,xx̀x,False,False,False,False,,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,ἕκ,(),False,xx͂x,False,False,False,False,,Plur,,,,,Gen,Neut
ἕκ,ἕκ,ἕκ,ἕκ,̔́κ,ε,-20.0,NUM,Ma,,dep,0.0,τρίτον,(),False,x̔́x,False,False,False,False,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἕκ,(),False,",",False,True,False,False,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,λοιπὰ,(),False,xx̀,False,False,False,False,,Plur,,,,,Nom,Neut
λοιπὰ,λοιπὰ,λοιπὰ,λοιπὰ,πὰ,λ,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,τρίτον,(),False,xxxx̀,False,False,False,False,,Plur,,,,,Nom,Neut
δύο,δύο,δύο,δύο,ύο,δ,-20.0,NUM,m--------,,nummod,0.0,λοιπὰ,(),False,xx́x,False,False,False,False,,,,,,,,
τρίτον,τρίτον,τρίτος,τρίτον,τον,τ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,ROOT,0.0,τρίτον,(),False,xxx́xxx,False,False,False,False,,Sing,,,,,Nom,Neut
ἐστὶ,ἐστὶ,ἐστὶ,ἐστὶ,τὶ,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,τρίτον,(),False,x̓xxx̀,False,False,False,False,Ind,Sing,3,Pres,Fin,Act,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,πρώτου,(),False,xxx͂,False,False,False,False,,Sing,,,,,Gen,Masc
πρώτου,πρώτου,πρώτου,πρώτου,του,π,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,τρίτον,(),False,xxx́xxx,False,False,False,False,,Sing,,,,,Gen,Masc
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,τρίτον,(),False,·,False,True,False,False,,,,,,,,
ὑπερέχεται,ὑπερέχεται,ὑπερέχομαι,ὑπερέχεται,ται,υ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,ὑπερέχεται,(),False,x̔xxxx́xxxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Mid,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ὑπερέχεται,(),False,xx̀,False,False,False,False,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,advmod,0.0,ὑπερέχεται,(),False,’,False,True,False,False,,,,,,,,
ὑπὸ,ὑπὸ,ὑπὸ,ὑπὸ,πὸ,υ,-20.0,ADP,r--------,,case,0.0,τελευταίου,(),False,x̔xx̀,False,False,False,False,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,τελευταίου,(),False,xxx͂,False,False,False,False,,Sing,,,,,Gen,Masc
τελευταίου,τελευταίου,τελευταίου,τελευταίου,́ου,τ,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,obl,0.0,ὑπερέχεται,(),False,xxxx́xx,False,False,False,False,,Sing,,,,,Gen,Masc
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---md-,Case=Dat|Gender=Masc|Number=Sing,det,0.0,ἴσῳ,(),False,xx͂ͅ,False,False,False,False,,Sing,,,,,Dat,Masc
ἴσῳ,ἴσῳ,ἴσῳ,ἴσῳ,σῳ,ι,-20.0,ADJ,a-s---md-,Case=Dat|Gender=Masc|Number=Sing,obj,0.0,ὑπερέχεται,(),False,x̓́xxͅ,False,False,False,False,,Sing,,,,,Dat,Masc
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ὑπερέχεται,(),False,·,False,True,False,False,,,,,,,,
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,SCONJ,c--------,,mark,0.0,ὑφαιρεθείη,(),False,xx̓,False,False,False,False,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,γίνεται,(),False,xx̀x,False,False,False,False,,,,,,,,
ὑφαιρεθείη,ὑφαιρεθείη,ὑφαιρεθείη,ὑφαιρεθείη,ίη,υ,-20.0,VERB,v3saop---,Mood=Opt|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Pass,advcl,0.0,γίνεται,(),False,x̔xxxx́x,False,False,False,False,Opt,Sing,3,Past,Fin,Pass,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,δώδεκα,(),False,xx͂x,False,False,False,False,,Plur,,,,,Gen,Neut
δώδεκα,δώδεκα,δώδεκα,δώδεκα,εκα,δ,-20.0,ADJ,a--------,,obj,0.0,ὑφαιρεθείη,(),False,xx́xxxx,False,False,False,False,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,ὀκτώ,(),False,xx̀,False,False,False,False,,Plur,,,,,Nom,Neut
ὀκτώ,ὀκτώ,ὀκτώ,ὀκτώ,τώ,ο,-20.0,NUM,a--------,,nsubj,0.0,ὑφαιρεθείη,(),False,x̓xxx́,False,False,False,False,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ὑφαιρεθείη,(),False,",",False,True,False,False,,,,,,,,
τὰ,τὰ,τὰ,τὰ,τὰ,τ,-20.0,DET,l-p---nn-,Case=Nom|Gender=Neut|Number=Plur,det,0.0,λοιπὰ,(),False,xx̀,False,False,False,False,,Plur,,,,,Nom,Neut
λοιπὰ,λοιπὰ,λοιπὰ,λοιπὰ,πὰ,λ,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,γίνεται,(),False,xxxx̀,False,False,False,False,,Plur,,,,,Nom,Neut
τέσσαρα,τέσσαρα,τέσσαρος,τέσσαρα,αρα,τ,-20.0,ADJ,a-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nmod,0.0,λοιπὰ,(),False,xx́xxxx,False,False,False,False,,Plur,,,,,Nom,Neut
γίνεται,γίνεται,γίγνομαι,γίνεται,ται,γ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,γίνεται,(),False,xx́xxxx,False,False,False,False,Ind,Sing,3,Pres,Fin,Mid,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---ng-,Case=Gen|Gender=Neut|Number=Sing,det,0.0,τελευταίου,(),False,xxx͂,False,False,False,False,,Sing,,,,,Gen,Neut
τελευταίου,τελευταίου,τελευταίου,τελευταίου,́ου,τ,-20.0,ADJ,a-s---mg-,Case=Gen|Gender=Masc|Number=Sing,dep,0.0,γίνεται,(),False,xxxx́xx,False,False,False,False,,Sing,,,,,Gen,Masc
τρίτον,τρίτον,τρίτος,τρίτον,τον,τ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,xcomp,0.0,γίνεται,(),False,xxx́xxx,False,False,False,False,,Sing,,,,,Nom,Neut
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,γίνεται,(),False,.,False,True,False,False,,,,,,,,
