orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,εὑρήσει,(),False,xxx̀,False,False,False,False,,,,,,,,
ἀεὶ,ἀεὶ,ἀεὶ,ἀεὶ,εὶ,α,-20.0,ADV,d--------,,advmod,0.0,ποιούμενός,(),False,x̓xx̀,False,False,False,False,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,ἕβδομον,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,
ἕβδομον,ἕβδομον,ἕβδομος,ἕβδομον,μον,ε,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ποιούμενός,(),False,x̔́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,
ποιούμενός,ποιούμενός,ποιούμενός,ποιούμενός,ός,π,-20.0,VERB,v-sppemn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Mid,advcl,0.0,εὑρήσει,(),False,xxxx́xxxx́x,False,False,False,False,Nom,Masc,Sing,Pres,Part,Mid,,
τις,τις,τις,τις,τις,τ,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,εὑρήσει,(),True,xxx,True,False,False,False,Nom,Masc,Sing,,,,,
ἀντὶ,ἀντὶ,ἀντὶ,ἀντὶ,τὶ,α,-20.0,ADP,r--------,,case,0.0,μονάδος,(),False,x̓xxx̀,False,False,False,False,,,,,,,,
μονάδος,μονάδος,μονάς,μονάδος,δος,μ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἀρχὴν,(),False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,
ἀρχὴν,ἀρχὴν,ἀρχὴν,ἀρχὴν,ὴν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,τις,(),False,x̓xxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ποιούμενός,(),False,xxx̀,False,False,False,False,,,,,,,,
παραύξων,παραύξων,παραύζω,παραύξων,ξων,π,-20.0,VERB,v-sfpamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Fut|VerbForm=Part|Voice=Act,nmod,0.0,τις,(),False,xxxx́xxx,False,False,False,False,Nom,Masc,Sing,Fut,Part,Act,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ἀναλογίαν,(),False,xxxx̀,False,False,False,False,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἀναλογίαν,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,
αὐτὴν,αὐτὴν,αὐτὴν,αὐτὴν,ὴν,α,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἀναλογίαν,(),False,xx̓xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,
ἀναλογίαν,ἀναλογίαν,ἀναλογία,ἀναλογίαν,́αν,α,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,παραύξων,(),False,x̓xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,
ἄχρις,ἄχρις,ἄχρι,ἄχρις,ρις,α,-20.0,ADP,r--------,,case,0.0,ἑβδομάδος,(),False,x̓́xxxx,False,False,False,False,,,,,,,,
ἑβδομάδος,ἑβδομάδος,ἑβδομάς,ἑβδομάδος,δος,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,obl,0.0,εὑρήσει,(),False,x̔xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,
εὑρήσει,εὑρήσει,εὑρήσει,εὑρήσει,σει,ε,-20.0,VERB,v3sfia---,Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act,ROOT,0.0,εὑρήσει,(),False,xx̔xx́xxx,False,False,False,False,,,Sing,Fut,Fin,Act,Ind,3
πάντως,πάντως,πάντως,πάντως,τως,π,-20.0,ADV,d--------,,advmod,0.0,εὑρήσει,(),False,xx́xxxx,False,False,False,False,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,κύβον,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,
παραυξηθέντα,παραυξηθέντα,παραυξηθέντα,παραυξηθέντα,ντα,π,-20.0,VERB,v-sappma-,Case=Acc|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,nmod,0.0,κύβον,(),False,xxxx́xxx,False,False,False,False,Acc,Masc,Sing,Past,Part,Pass,,
κύβον,κύβον,κύβος,κύβον,βον,κ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,εὑρήσει,"(τετράγωνον,)",False,xx́xxx,False,False,False,False,Acc,Masc,Sing,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,κύβον,(),True,xx,True,False,False,False,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,κύβον,(),False,xxx̀,False,False,False,False,,,,,,,,
