orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Mood,Person
εὖ,εὖ,εὖ,εὖ,ὖ,ε,-20.0,ADV,d--------,,ROOT,0.0,εὖ,(),False,xx̓͂,False,False,False,False,,,,,,,,,
μέντοι,μέντοι,μέντοι,μέντοι,τοι,μ,-20.0,ADV,Df,,advmod,0.0,εὖ,(),False,xx́xxxx,False,False,False,False,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,φάναι,(),False,xxx̀,False,False,False,False,,,,,,,,,
τὸ,τὸ,τὸ,τὸ,τὸ,τ,-20.0,DET,l-s---nn-,Case=Nom|Gender=Neut|Number=Sing,det,0.0,φάναι,(),False,xx̀,False,False,False,False,Nom,Neut,Sing,,,,,,
φάναι,φάναι,φάναι,φάναι,ναι,φ,-20.0,VERB,v--pna---,Tense=Pres|VerbForm=Inf|Voice=Act,nsubj,0.0,εὖ,(),False,xx́xxx,False,False,False,False,,,,Pres,Inf,Act,,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,G-,,mark,0.0,ἀβύσσους,(),False,x̔́xx,False,False,False,False,,,,,,,,,
σκότος,σκότος,σκότος,σκότος,τος,σ,-20.0,NOUN,n-s---nn-,Case=Nom|Gender=Neut|Number=Sing,nsubj,0.0,ἀβύσσους,(),False,xxx́xxx,False,False,False,False,Nom,Neut,Sing,,,,,,
ἦν,ἦν,ἦν,ἦν,̓͂ν,η,-20.0,AUX,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,cop,0.0,ἀβύσσους,(),False,x̓͂x,False,False,False,False,,,Sing,Past,Fin,Act,Imp,Ind,3
ἐπάνω,ἐπάνω,ἐπάνω,ἐπάνω,́νω,ε,-20.0,ADP,R-,,case,0.0,ἀβύσσους,(),False,x̓xx́xx,False,False,False,False,,,,,,,,,
τῆς,τῆς,τῆ,τῆς,ῆς,τ,-20.0,DET,l-s---fg-,Case=Gen|Gender=Fem|Number=Sing,det,0.0,ἀβύσσους,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,
ἀβύσσους,ἀβύσσους,ἀβύσσου,ἀβύσσους,ους,α,-20.0,NOUN,Nb,Case=Gen|Gender=Fem|Number=Sing,ccomp,0.0,φάναι,(),False,x̓xx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,
“,“,“,"""",“,“,-20.0,ADV,d--------,,dep,0.0,φάναι,(),False,“,False,True,False,False,,,,,,,,,
(,(,(,(,(,(,-20.0,PUNCT,u--------,,punct,0.0,γεν,(),False,(,False,True,False,False,,,,,,,,,
γεν,γεν,γεν,γεν,γεν,γ,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,dep,0.0,φάναι,(),False,xxx,True,False,False,False,Nom,Masc,Sing,,,,,,
.,.,.,.,.,.,-20.0,ADV,Df,,dep,0.0,φάναι,(),False,.,False,True,False,False,,,,,,,,,
"1,2).","1,2).","1,2).","1,2).",2).,1,-20.0,PUNCT,u--------,,punct,0.0,.,(),False,"d,d).",False,False,False,False,,,,,,,,,
